Action,Outcome
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,-0
0,0.02
0,0.02
-1,0.02
0,0.02
1,0.02
0,0.01
0,0.01
0,0.02
-1,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
1,0.02
0,0.02
0,-0
0,-0.01
0,-0.01
-1,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
1,-0
0,-0
0,-0
0,0.01
0,0.01
0,0.01
0,0.01
0,0.02
0,0.03
0,0.04
0,0.05
0,0.04
0,0.04
0,0.04
0,0.05
0,0.04
0,0.03
0,0.05
0,0.06
0,0.06
0,0.05
0,0.04
0,0.03
0,0.04
0,0.05
0,0.05
0,0.04
0,0.04
0,0.04
0,0.04
0,0.04
0,0.05
0,0.06
0,0.06
0,0.06
0,0.04
0,0.03
0,0.03
-1,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
1,0.03
0,0.04
0,0.04
0,0.04
0,0.03
0,0.04
0,0.04
0,0.05
0,0.05
0,0.05
0,0.05
0,0.04
0,0.04
0,0.04
0,0.04
0,0.04
0,0.04
0,0.06
0,0.06
0,0.06
0,0.06
0,0.06
0,0.06
0,0.06
0,0.07
0,0.06
0,0.06
0,0.07
0,0.07
0,0.06
0,0.07
0,0.07
0,0.08
0,0.08
0,0.08
0,0.08
0,0.08
0,0.09
0,0.09
0,0.09
0,0.1
0,0.08
0,0.12
0,0.13
0,0.11
0,0.11
0,0.11
0,0.11
0,0.1
0,0.1
0,0.09
0,0.09
0,0.09
0,0.09
0,0.1
0,0.1
0,0.1
0,0.1
0,0.11
0,0.12
0,0.12
0,0.12
0,0.12
0,0.12
0,0.12
0,0.12
0,0.13
0,0.14
0,0.14
0,0.14
0,0.14
0,0.15
0,0.15
0,0.14
0,0.13
0,0.12
0,0.12
0,0.11
0,0.11
-1,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
0,0.11
1,0.11
0,0.11
0,0.11
0,0.12
0,0.12
0,0.13
0,0.14
0,0.15
0,0.15
0,0.15
0,0.15
0,0.16
0,0.16
0,0.15
0,0.15
0,0.15
