Close,Upper,Middle,Lower
367.779999,367.51,357.97,348.43
367.820007,368.95,358.64,348.33
369.5,370.51,359.41,348.3
367.859985,371.44,360.14,348.84
370.429993,372.62,361.04,349.45
370.480011,373.47,361.95,350.44
366.820007,373.2,362.77,352.33
363.279999,372.89,363.22,353.54
360.160004,372.41,363.51,354.61
361.709991,372.05,363.8,355.55
359.420013,371.62,363.99,356.37
357.779999,371.67,363.97,356.27
357.059998,371.96,363.77,355.58
350.299988,373.26,363.27,353.28
348.079987,374.54,362.55,350.56
343.040009,376.38,361.68,346.99
343.690002,377.44,360.78,344.12
345.059998,377.95,359.95,341.95
346.339996,377.98,359.11,340.24
345.450012,377.63,358.1,338.58
348.559998,376.56,357.14,337.73
348.429993,375.29,356.17,337.05
345.660004,373.59,354.98,336.37
345.089996,371.94,353.84,335.74
346.230011,369.32,352.63,335.95
345.390015,366.17,351.38,336.58
340.890015,363.74,350.08,336.43
338.660004,361.95,348.85,335.75
335.859985,360.82,347.64,334.45
336.839996,358.69,346.39,334.09
338.630005,356.54,345.35,334.16
336.899994,354.52,344.31,334.1
336.160004,352.24,343.26,334.29
331.709991,352.02,342.33,332.64
337.410004,351.34,341.8,332.26
341.329987,351.24,341.71,332.19
343.75,351.24,341.72,332.19
349.019989,351.87,341.92,331.96
351.809998,352.89,342.19,331.49
346.630005,353.03,342.25,331.47
346.170013,352.68,342.13,331.58
346.299988,352.35,342.02,331.69
348.179993,352.71,342.15,331.58
350.559998,353.55,342.42,331.3
350.01001,354.11,342.61,331.11
354.25,355.58,343.05,330.52
356.790009,357.68,343.85,330.02
359.859985,360.16,344.91,329.66
358.929993,361.88,346.06,330.24
361.329987,363.84,347.29,330.74
361,365.48,348.4,331.33
361.799988,366.82,349.65,332.48
362.679993,367.87,350.98,334.09
361.339996,367.42,352.46,337.5
360.049988,367.19,353.59,339.99
358.690002,366.99,354.46,341.93
