High,Low,Close,Upper,Middle,Lower
326.880005,323.480011,324.869995,333.93,323.59,313.37
326.160004,320.149994,322.98999,334.68,324.01,313.42
322.959991,319.809998,322.640015,334.64,324.24,313.98
324.23999,320.540009,322.48999,334.75,324.38,314.11
323.829987,320.130005,323.529999,334.62,324.37,314.29
324.690002,322.359985,323.75,334.47,324.32,314.37
328.26001,324.820007,327.390015,334.83,324.54,314.31
329.980011,325.850006,329.76001,335.22,324.84,314.43
333.940002,329.119995,330.390015,335.83,325.14,314.65
331.48999,328.350006,329.130005,336.19,325.29,314.75
329.269989,322.970001,323.109985,336.63,325.23,314.37
323,319.559998,320.200012,336.47,325.22,314.52
320.559998,317.709991,319.019989,335.95,324.85,314.5
322.630005,319.670013,320.600006,335.57,324.46,314.28
322.470001,319,322.190002,335.13,324.06,313.79
322.410004,319.390015,321.079987,334.28,323.82,314.06
323.220001,319.529999,323.119995,333.9,323.81,314.01
330.670013,324.420013,329.480011,333.9,324.29,314.59
330.890015,327.570007,328.579987,334.26,324.52,314.76
334.160004,328.679993,333.410004,334.5,324.89,314.85
335.820007,331.429993,335.420013,335.04,325.41,315.15
336.320007,334.100006,335.950012,335.17,326.06,316.22
337.589996,334.920013,335.290009,335.85,326.69,317.02
335.350006,332.220001,333.600006,336.35,327.25,317.66
336.619995,332.200012,336.390015,337.06,327.89,318.19
340.380005,334.089996,335.899994,338.25,328.5,318.39
341.679993,335.540009,339.820007,339.19,329.12,318.66
341.299988,337.660004,338.309998,339.71,329.55,319.3
339.279999,336.619995,338.670013,339.76,329.96,319.89
341.350006,336.369995,338.609985,340.44,330.44,320.11
338.850006,335.660004,336.959991,340.6,331.13,321.05
337.470001,334.190002,335.25,341.31,331.88,321.79
335.829987,331.839996,334.119995,342.19,332.64,322.39
336.730011,334.369995,335.339996,342.83,333.37,323.18
336.399994,332.609985,334.149994,343.56,333.97,323.83
337.01001,334.140015,336.910004,344.27,334.76,324.58
342.5,338.399994,341,345.28,335.66,325.49
