Close,Hv
318.600006,0.00000000
315.839996,0.00000000
316.149994,0.00000000
310.570007,0.00000000
307.779999,0.00000000
305.820007,0.00000000
305.989990,0.00000000
306.390015,0.00000000
311.450012,0.00000000
312.329987,0.00000000
309.290009,0.00000000
301.910004,0.00000000
300.000000,0.00000000
300.029999,0.00000000
302.000000,0.00000000
307.820007,0.00000000
302.690002,0.00000000
306.489990,0.00000000
305.549988,0.00000000
303.429993,0.00000000
309.059998,0.00000000
308.899994,0.01135158
309.910004,0.01127251
314.549988,0.01176314
312.899994,0.01116703
318.690002,0.01159122
315.529999,0.01173295
316.350006,0.01173270
320.369995,0.01196545
318.929993,0.01159933
317.640015,0.01164561
314.859985,0.01160487
308.299988,0.01131134
305.230011,0.01144987
309.869995,0.01184516
310.420013,0.01179350
311.299988,0.01110546
311.899994,0.01041350
310.950012,0.01015030
309.170013,0.01021333
307.329987,0.01018070
311.519989,0.00981623
310.570007,0.00984259
311.859985,0.00985705
308.510010,0.00955682
308.429993,0.00950716
312.970001,0.00917253
308.480011,0.00942676
307.209991,0.00941210
309.890015,0.00916372
313.739990,0.00960180
310.790009,0.00975631
309.630005,0.00962380
308.179993,0.00857641
308.239990,0.00828152
302.720001,0.00848214
303.160004,0.00847727
303.070007,0.00843434
304.019989,0.00845981
304.660004,0.00847687
305.179993,0.00842457
304.619995,0.00834488
307.750000,0.00810334
312.450012,0.00874761
316.970001,0.00922516
311.119995,0.00981296
311.369995,0.00981192
304.820007,0.01028747
303.630005,0.00988461
302.880005,0.00986375
305.329987,0.00983598
297.880005,0.01060034
302.010010,0.01101931
293.510010,0.01241379
301.059998,0.01376984
303.850006,0.01394233
299.730011,0.01371392
298.369995,0.01373515
298.920013,0.01374543
302.140015,0.01393810
302.320007,0.01392993
305.299988,0.01409219
305.079987,0.01408683
308.769989,0.01415416
310.309998,0.01379968
309.070007,0.01341813
310.390015,0.01288128
312.510010,0.01296349
312.619995,0.01205911
313.700012,0.01201029
314.549988,0.01197674
318.049988,0.01206894
319.739990,0.01053277
323.790009,0.01047922
324.630005,0.00777088
323.089996,0.00647223
323.820007,0.00633988
324.329987,0.00516074
326.049988,0.00482008
324.339996,0.00520892
320.529999,0.00595052
326.230011,0.00671863
328.549988,0.00662267
330.170013,0.00655928
325.859985,0.00719866
323.220001,0.00752379
320.000000,0.00784936
323.880005,0.00814511
326.140015,0.00814929
324.869995,0.00824151
322.989990,0.00839033
322.640015,0.00840157
322.489990,0.00810993
323.529999,0.00806534
323.750000,0.00760155
327.390015,0.00795576
329.760010,0.00799350
330.390015,0.00799124
329.130005,0.00805457
323.109985,0.00893592
320.200012,0.00906814
319.019989,0.00875200
320.600006,0.00788070
322.190002,0.00779066
321.079987,0.00769577
323.119995,0.00738777
329.480011,0.00831525
328.579987,0.00800006
333.410004,0.00818277
335.420013,0.00815449
335.950012,0.00806909
335.290009,0.00794182
333.600006,0.00805445
336.390015,0.00816407
335.899994,0.00819267
339.820007,0.00844999
338.309998,0.00832278
338.670013,0.00822683
338.609985,0.00823151
336.959991,0.00826528
335.250000,0.00719453
334.119995,0.00688553
335.339996,0.00677074
334.149994,0.00685966
336.910004,0.00696277
341.000000,0.00715439
342.000000,0.00711263
341.559998,0.00605642
341.459991,0.00599272
340.899994,0.00529391
341.130005,0.00517671
343.369995,0.00531865
345.350006,0.00536427
343.540009,0.00537594
341.089996,0.00543447
344.250000,0.00570693
345.339996,0.00523046
342.429993,0.00548262
346.609985,0.00601593
345.760010,0.00605869
349.630005,0.00627742
347.579987,0.00632052
349.799988,0.00628621
349.309998,0.00632286
349.809998,0.00620387
351.959991,0.00612138
352.260010,0.00569726
351.190002,0.00577038
353.809998,0.00588464
349.989990,0.00645158
362.579987,0.00977860
363.730011,0.00976492
358.019989,0.01051184
356.980011,0.01052789
358.350006,0.01042261
358.480011,0.01022807
354.500000,0.01049544
354.109985,0.01050160
353.190002,0.01031761
352.559998,0.01005484
352.089996,0.01004009
350.570007,0.00982497
354.260010,0.00996422
354.299988,0.00989069
355.929993,0.00991377
355.549988,0.00992219
358.290009,0.00996750
361.059998,0.01007308
360.200012,0.01006083
362.459991,0.01002912
360.470001,0.00978760
361.670013,0.00606685
361.799988,0.00602401
363.149994,0.00497949
365.519989,0.00505966
367.779999,0.00514319
367.820007,0.00514556
369.500000,0.00438120
367.859985,0.00454766
370.429993,0.00456168
370.480011,0.00449810
366.820007,0.00515384
363.279999,0.00557172
360.160004,0.00561875
361.709991,0.00566494
359.420013,0.00581074
357.779999,0.00590207
357.059998,0.00568127
350.299988,0.00667174
348.079987,0.00675167
343.040009,0.00703873
343.690002,0.00706965
345.059998,0.00709565
346.339996,0.00718870
345.450012,0.00707161
348.559998,0.00723738
348.429993,0.00700527
345.660004,0.00706978
345.089996,0.00687720
346.230011,0.00700855
345.390015,0.00665687
340.890015,0.00691808
338.660004,0.00681724
335.859985,0.00676665
336.839996,0.00681489
338.630005,0.00687075
336.899994,0.00684837
336.160004,0.00684207
331.709991,0.00717890
337.410004,0.00758441
341.329987,0.00801923
343.750000,0.00758367
349.019989,0.00824385
351.809998,0.00836171
346.630005,0.00897204
346.170013,0.00895845
346.299988,0.00873766
348.179993,0.00882141
350.559998,0.00874817
350.010010,0.00874715
354.250000,0.00906681
356.790009,0.00911764
359.859985,0.00861617
358.929993,0.00845553
361.329987,0.00811566
361.000000,0.00817002
361.799988,0.00816096
362.679993,0.00795111
361.339996,0.00800885
360.049988,0.00727943
358.690002,0.00681715
