High,Low,Close,Expected
318.600006,308.700012,318.600006,0.000000
319.559998,313.299988,315.839996,0.000000
316.380005,312.750000,316.149994,0.000000
315.660004,308.730011,310.570007,0.000000
310.290009,306.350006,307.779999,0.000000
309.380005,304.920013,305.820007,0.000000
307.489990,305.089996,305.989990,0.000000
308.339996,304.709991,306.390015,0.000000
311.910004,305.459991,311.450012,0.000000
318.910004,310.820007,312.329987,0.000000
316.359985,308.399994,309.290009,0.000000
306.959991,299.450012,301.910004,0.000000
302.470001,297.760010,300.000000,0.000000
301.480011,297.149994,300.029999,0.000000
304.190002,297.000000,302.000000,48.244356
308.540009,304.160004,307.820007,49.483561
306.500000,297.640015,302.690002,52.434654
306.570007,300.929993,306.489990,51.655161
308.579987,304.649994,305.549988,51.526626
307.459991,303.260010,303.429993,51.411014
309.380005,305.239990,309.059998,52.959821
309.040009,305.619995,308.899994,52.878511
312.390015,307.380005,309.910004,52.256531
316.890015,311.250000,314.549988,55.435183
314.230011,310.000000,312.899994,53.900287
320.160004,313.380005,318.690002,46.928673
320.500000,314.750000,315.529999,46.866423
316.799988,313.339996,316.350006,46.456964
320.570007,316.600006,320.369995,45.955327
321.320007,317.720001,318.929993,43.262776
318.420013,315.790009,317.640015,45.151950
318.519989,314.250000,314.859985,48.968700
315.540009,307.750000,308.299988,51.130092
307.239990,303.859985,305.230011,52.540719
310.010010,304.359985,309.869995,52.377654
312.730011,306.850006,310.420013,53.684047
312.829987,307.500000,311.299988,53.852072
312.549988,307.709991,311.899994,52.713880
313.679993,309.579987,310.950012,52.470138
311.730011,308.339996,309.170013,50.306514
309.510010,306.809998,307.329987,48.509783
311.859985,305.790009,311.519989,50.052510
312.670013,306.380005,310.570007,51.232913
312.600006,308.299988,311.859985,58.247141
311.549988,305.920013,308.510010,59.771963
308.799988,305.600006,308.429993,67.807239
314.149994,306.630005,312.970001,72.461829
313.410004,308.010010,308.480011,74.867991
311.420013,306.989990,307.209991,79.339415
309.980011,305.279999,309.890015,77.297177
313.739990,309.619995,313.739990,76.618963
314.100006,309.040009,310.790009,76.743182
310.369995,308.279999,309.630005,75.836121
310.200012,306.869995,308.179993,75.801465
308.410004,305.480011,308.239990,75.934136
307.299988,300.500000,302.720001,60.549801
305.269989,301.769989,303.160004,58.949565
305.559998,300.250000,303.070007,58.848963
305.619995,300.010010,304.019989,58.009490
305.779999,302.010010,304.660004,58.338518
306.149994,303.410004,305.179993,55.620796
305.619995,302.079987,304.619995,54.450342
308.100006,301.450012,307.750000,55.843211
312.660004,308.500000,312.450012,55.972354
317.290009,312.429993,316.970001,48.690738
316.500000,310.230011,311.119995,49.696466
312.679993,309.250000,311.369995,50.236109
313.179993,303.940002,304.820007,53.530732
306.720001,301.920013,303.630005,54.516234
306.589996,300.760010,302.880005,53.509365
307.549988,301.679993,305.329987,54.754775
300.549988,294.899994,297.880005,47.496615
304.429993,295.359985,302.010010,49.132657
301.299988,292.420013,293.510010,47.754145
301.510010,295.059998,301.059998,49.961279
305.630005,302.250000,303.850006,50.378818
307.049988,299.649994,299.730011,50.679983
302.079987,296.299988,298.369995,51.026359
299.500000,293.390015,298.920013,52.741741
303.209991,298.970001,302.140015,57.392425
302.720001,300.589996,302.320007,56.867037
305.380005,303.359985,305.299988,66.251859
307.470001,302.579987,305.079987,66.291081
308.809998,304.989990,308.769989,62.374477
311.500000,308.239990,310.309998,55.434393
311.000000,307.070007,309.070007,52.320828
311.070007,307.850006,310.390015,49.281579
313.220001,309.049988,312.510010,44.769150
313.700012,310.329987,312.619995,41.046165
315.940002,311.769989,313.700012,36.828366
316.920013,313.720001,314.549988,32.461030
318.809998,313.260010,318.049988,29.375897
321.880005,318.119995,319.739990,31.716624
323.980011,319.000000,323.790009,31.421889
325.720001,322.500000,324.630005,32.591912
324.549988,322.760010,323.089996,31.758310
324.369995,321.320007,323.820007,34.599573
324.850006,321.609985,324.329987,38.178356
326.399994,324.299988,326.049988,35.950927
327.100006,324.109985,324.339996,35.387752
323.739990,319.000000,320.529999,39.432250
326.910004,322.109985,326.230011,43.823712
328.809998,325.190002,328.549988,43.395782
331.839996,328.570007,330.170013,39.489552
330.250000,322.760010,325.859985,42.442786
328.070007,323.059998,323.220001,53.571890
325.989990,317.410004,320.000000,54.723521
325.160004,322.619995,323.880005,54.834874
330.690002,325.790009,326.140015,56.990095
326.880005,323.480011,324.869995,57.872625
326.160004,320.149994,322.989990,59.523785
322.959991,319.809998,322.640015,59.491005
324.239990,320.540009,322.489990,60.355163
323.829987,320.130005,323.529999,60.732395
324.690002,322.359985,323.750000,59.106618
328.260010,324.820007,327.390015,58.060284
329.980011,325.850006,329.760010,58.348531
333.940002,329.119995,330.390015,54.051977
331.489990,328.350006,329.130005,51.578189
329.269989,322.970001,323.109985,52.328775
323.000000,319.559998,320.200012,54.593855
320.559998,317.709991,319.019989,48.538799
322.630005,319.670013,320.600006,46.404595
322.470001,319.000000,322.190002,46.452595
322.410004,319.390015,321.079987,44.346322
323.220001,319.529999,323.119995,44.713973
330.670013,324.420013,329.480011,47.379916
330.890015,327.570007,328.579987,47.124991
334.160004,328.679993,333.410004,48.741751
335.820007,331.429993,335.420013,45.022381
336.320007,334.100006,335.950012,42.752371
337.589996,334.920013,335.290009,38.807157
335.350006,332.220001,333.600006,38.800326
336.619995,332.200012,336.390015,37.490920
340.380005,334.089996,335.899994,34.408216
341.679993,335.540009,339.820007,36.546900
341.299988,337.660004,338.309998,36.565980
339.279999,336.619995,338.670013,36.704138
341.350006,336.369995,338.609985,38.187018
