High,Low,Close,Expected
347.619995,345.100006,345.760010,63.330434
351.190002,346.279999,349.630005,53.124403
349.660004,345.540009,347.579987,54.374258
351.089996,347.519989,349.799988,57.955093
351.269989,348.600006,349.309998,56.948646
351.000000,348.320007,349.809998,58.443958
352.329987,350.209991,351.959991,54.588798
353.420013,351.250000,352.260010,50.556881
352.890015,349.690002,351.190002,50.895508
354.470001,349.420013,353.809998,49.967133
355.109985,349.390015,349.989990,51.527561
364.630005,355.149994,362.579987,38.197733
364.250000,358.850006,363.730011,40.873356
364.429993,356.059998,358.019989,47.306173
362.350006,355.920013,356.980011,50.286293
359.250000,353.200012,358.350006,50.611324
358.950012,356.809998,358.480011,53.712631
357.920013,353.670013,354.500000,56.186789
358.720001,353.380005,354.109985,57.569371
356.299988,351.880005,353.190002,61.015158
354.299988,351.250000,352.559998,61.277595
354.179993,349.609985,352.089996,62.443752
353.500000,349.660004,350.570007,62.748753
354.320007,351.540009,354.260010,62.126617
357.230011,354.130005,354.299988,61.391774
357.350006,352.920013,355.929993,56.426210
358.410004,354.529999,355.549988,55.539260
358.589996,354.010010,358.290009,58.963269
362.679993,358.600006,361.059998,56.692148
362.470001,359.250000,360.200012,54.808299
363.390015,360.600006,362.459991,53.513708
366.470001,360.000000,360.470001,46.965820
362.799988,359.260010,361.670013,45.775998
363.299988,360.869995,361.799988,44.415602
364.829987,361.769989,363.149994,44.422569
366.609985,364.510010,365.519989,43.440458
370.429993,365.470001,367.779999,40.121652
370.839996,365.970001,367.820007,42.890528
370.220001,368.260010,369.500000,42.410256
370.200012,367.519989,367.859985,43.560195
371.329987,367.790009,370.429993,42.229459
373.339996,368.459991,370.480011,48.556095
371.339996,366.730011,366.820007,50.421705
367.200012,362.940002,363.279999,51.180747
363.420013,359.760010,360.160004,51.507019
361.890015,357.269989,361.709991,45.196841
360.790009,357.950012,359.420013,45.353894
360.519989,354.269989,357.779999,41.496239
359.470001,356.670013,357.059998,41.323025
357.500000,348.549988,350.299988,34.882041
350.000000,345.410004,348.079987,30.320341
348.239990,342.130005,343.040009,26.861215
344.010010,339.510010,343.690002,25.041324
345.940002,342.369995,345.059998,25.552644
348.760010,341.859985,346.339996,27.423176
345.899994,342.829987,345.450012,28.980727
349.510010,345.500000,348.559998,33.954585
349.600006,344.920013,348.429993,39.750071
348.660004,343.019989,345.660004,43.339351
348.440002,343.880005,345.089996,45.216738
349.940002,345.829987,346.230011,46.284642
348.410004,344.149994,345.390015,47.154219
344.829987,339.959991,340.890015,52.503624
342.690002,338.450012,338.660004,66.727974
340.000000,334.350006,335.859985,55.788506
338.880005,333.489990,336.839996,53.350237
339.850006,337.769989,338.630005,52.501128
339.619995,336.549988,336.899994,52.211873
338.320007,335.459991,336.160004,49.789966
336.190002,330.579987,331.709991,44.896139
338.359985,332.179993,337.410004,46.415433
341.489990,337.500000,341.329987,46.068851
345.329987,340.579987,343.750000,45.548841
349.390015,344.500000,349.019989,46.178946
354.350006,349.790009,351.809998,38.679585
354.029999,344.059998,346.630005,41.825081
346.950012,344.299988,346.170013,40.326230
348.000000,344.690002,346.299988,39.811288
350.109985,346.880005,348.179993,38.771377
351.200012,348.600006,350.559998,37.388445
350.649994,348.809998,350.010010,36.686653
355.950012,351.250000,354.250000,35.917072
357.309998,354.480011,356.790009,34.053975
360.000000,357.230011,359.859985,31.128478
360.559998,358.070007,358.929993,35.661677
362.609985,358.179993,361.329987,37.616888
363.029999,360.250000,361.000000,42.006625
362.459991,360.049988,361.799988,39.815151
363.190002,361.239990,362.679993,37.059287
362.640015,359.579987,361.339996,32.040109
362.119995,359.209991,360.049988,33.053878
361.519989,358.299988,358.690002,37.750898
