Close,Std
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,5.21
309.059998,4.57
308.899994,4.14
309.910004,3.61
314.549988,3.93
312.899994,4.16
318.690002,4.89
315.529999,5.18
316.350006,5.48
320.369995,6.04
318.929993,6.39
317.640015,6.64
314.859985,6.49
308.299988,6.07
305.230011,5.71
309.869995,5.34
310.420013,5.28
311.299988,4.88
311.899994,4.72
310.950012,4.48
309.170013,4.06
307.329987,4.15
311.519989,4.07
310.570007,4.05
311.859985,4.04
308.51001,4.14
308.429993,3.97
312.970001,3.89
308.480011,3.81
307.209991,3.31
309.890015,2.73
313.73999,2.31
310.790009,2.05
309.630005,2.02
308.179993,1.76
308.23999,1.8
302.720001,2.41
303.160004,2.76
303.070007,3
304.019989,3.13
304.660004,3.23
305.179993,3.29
304.619995,3.28
307.75,3.22
312.450012,3.26
316.970001,3.84
311.119995,3.9
311.369995,3.81
304.820007,3.88
303.630005,3.99
302.880005,4.1
305.329987,3.86
297.880005,4.24
302.01001,4.27
293.51001,5.03
301.059998,5.06
303.850006,5.04
299.730011,5.15
298.369995,5.33
298.920013,5.47
302.140015,5.49
302.320007,5.5
305.299988,5.51
305.079987,5.45
308.769989,5.21
310.309998,4.53
309.070007,4.37
310.390015,4.29
312.51001,4.73
312.619995,5.12
313.700012,5.52
314.549988,5.92
318.049988,6.31
319.73999,6.89
323.790009,7.09
324.630005,7.68
323.089996,8.09
323.820007,8.16
324.329987,7.98
326.049988,7.74
324.339996,7.48
320.529999,6.89
326.230011,6.69
328.549988,6.45
330.170013,6.48
325.859985,6.21
323.220001,5.64
320,5.07
323.880005,4.62
326.140015,4.1
324.869995,3.51
322.98999,2.84
322.640015,2.52
322.48999,2.34
323.529999,2.34
323.75,2.34
327.390015,2.42
329.76001,2.66
330.390015,2.92
329.130005,3.04
323.109985,3.07
320.200012,3.1
319.019989,3.37
320.600006,3.38
322.190002,3.14
321.079987,3.18
323.119995,3.18
329.480011,3.28
328.579987,3.41
333.410004,3.91
335.420013,4.54
335.950012,5.04
335.290009,5.36
333.600006,5.47
336.390015,5.74
335.899994,5.91
339.820007,6.39
338.309998,6.7
338.670013,6.99
338.609985,7.23
336.959991,7.16
335.25,6.75
334.119995,6.08
335.339996,5.44
334.149994,4.8
336.910004,3.81
341,2.98
342,2.93
341.559998,2.56
341.459991,2.61
340.899994,2.68
341.130005,2.76
343.369995,2.94
345.350006,3.11
343.540009,3.22
341.089996,3.15
344.25,3.32
345.339996,3.52
342.429993,3.54
346.609985,3.78
345.76001,3.83
349.630005,4.02
347.579987,3.8
349.799988,3.75
349.309998,3.35
349.809998,3.17
351.959991,3.44
352.26001,3.69
351.190002,3.75
353.809998,3.94
349.98999,3.76
362.579987,4.79
363.730011,5.71
358.019989,5.94
356.980011,5.94
358.350006,5.74
358.480011,5.68
354.5,5.48
354.109985,4.96
353.190002,4.72
352.559998,4.38
352.089996,4.29
350.570007,4.11
354.26001,3.99
354.299988,3.82
355.929993,3.66
355.549988,3.6
358.290009,3.6
361.059998,3.66
360.200012,3.74
362.459991,3.69
360.470001,3.55
361.670013,3.37
361.799988,3.54
363.149994,3.8
365.519989,4.21
367.779999,4.77
367.820007,5.15
369.5,5.55
367.859985,5.65
370.429993,5.79
370.480011,5.76
366.820007,5.22
363.279999,4.84
360.160004,4.45
361.709991,4.12
359.420013,3.81
357.779999,3.85
357.059998,4.09
350.299988,4.99
348.079987,5.99
343.040009,7.35
343.690002,8.33
345.059998,9
346.339996,9.44
345.450012,9.76
348.559998,9.71
348.429993,9.56
345.660004,9.31
345.089996,9.05
346.230011,8.34
345.390015,7.4
340.890015,6.83
338.660004,6.55
335.859985,6.59
336.839996,6.15
338.630005,5.59
336.899994,5.1
336.160004,4.49
331.709991,4.85
337.410004,4.77
341.329987,4.76
343.75,4.76
349.019989,4.98
351.809998,5.35
346.630005,5.39
346.170013,5.27
346.299988,5.17
348.179993,5.28
350.559998,5.56
350.01001,5.75
354.25,6.26
356.790009,6.91
359.859985,7.63
358.929993,7.91
361.329987,8.27
361,8.54
361.799988,8.58
362.679993,8.44
361.339996,7.48
360.049988,6.8
358.690002,6.26
