High,Low,Upper,Middle,Lower
342.079987,338.410004,342.50,335.04,327.57
341.890015,338.700012,342.50,335.59,328.68
341.799988,338.910004,342.50,336.96,331.43
344.070007,340.390015,344.07,337.96,331.84
343.480011,339.869995,344.07,337.96,331.84
343.839996,340.929993,344.07,337.96,331.84
346.440002,344.309998,346.44,339.14,331.84
346.209991,343.450012,346.44,339.14,331.84
345,340.51001,346.44,339.14,331.84
345.720001,341.089996,346.44,339.14,331.84
347.25,343.540009,347.25,339.54,331.84
345.380005,341.98999,347.25,339.54,331.84
346.790009,342.850006,347.25,339.54,331.84
347.619995,345.100006,347.62,339.73,331.84
351.190002,346.279999,351.19,341.51,331.84
349.660004,345.540009,351.19,341.90,332.61
351.089996,347.519989,351.19,341.90,332.61
351.269989,348.600006,351.27,342.71,334.14
351,348.320007,351.27,344.83,338.40
352.329987,350.209991,352.33,345.37,338.41
353.420013,351.25,353.42,346.06,338.70
352.890015,349.690002,353.42,346.17,338.91
354.470001,349.420013,354.47,347.17,339.87
355.109985,349.390015,355.11,347.49,339.87
364.630005,355.149994,364.63,352.57,340.51
364.25,358.850006,364.63,352.57,340.51
364.429993,356.059998,364.63,352.57,340.51
362.350006,355.920013,364.63,352.57,340.51
359.25,353.200012,364.63,352.86,341.09
358.950012,356.809998,364.63,353.31,341.99
357.920013,353.670013,364.63,353.31,341.99
358.720001,353.380005,364.63,353.74,342.85
356.299988,351.880005,364.63,354.87,345.10
354.299988,351.25,364.63,355.09,345.54
354.179993,349.609985,364.63,355.09,345.54
353.5,349.660004,364.63,356.07,347.52
354.320007,351.540009,364.63,356.48,348.32
357.230011,354.130005,364.63,356.48,348.32
357.350006,352.920013,364.63,357.01,349.39
358.410004,354.529999,364.63,357.01,349.39
358.589996,354.01001,364.63,357.01,349.39
362.679993,358.600006,364.63,357.01,349.39
362.470001,359.25,364.63,357.01,349.39
363.390015,360.600006,364.63,357.12,349.61
366.470001,360,366.47,358.04,349.61
362.799988,359.26001,366.47,358.04,349.61
363.299988,360.869995,366.47,358.04,349.61
364.829987,361.769989,366.47,358.04,349.61
366.609985,364.51001,366.61,358.11,349.61
370.429993,365.470001,370.43,360.02,349.61
370.839996,365.970001,370.84,360.22,349.61
370.220001,368.26001,370.84,360.22,349.61
370.200012,367.519989,370.84,360.22,349.61
371.329987,367.790009,371.33,360.47,349.61
373.339996,368.459991,373.34,361.50,349.66
371.339996,366.730011,373.34,362.44,351.54
367.200012,362.940002,373.34,363.13,352.92
363.420013,359.76001,373.34,363.13,352.92
361.890015,357.269989,373.34,363.68,354.01
360.790009,357.950012,373.34,363.68,354.01
360.519989,354.269989,373.34,363.80,354.27
359.470001,356.670013,373.34,363.80,354.27
357.5,348.549988,373.34,360.94,348.55
350,345.410004,373.34,359.38,345.41
348.23999,342.130005,373.34,357.74,342.13
344.01001,339.51001,373.34,356.43,339.51
345.940002,342.369995,373.34,356.43,339.51
348.76001,341.859985,373.34,356.43,339.51
345.899994,342.829987,373.34,356.43,339.51
