High,Low,Close,Volume,Ad,Co
318.600006,308.700012,318.600006,7919700,0.00,0.00
319.559998,313.299988,315.839996,4351600,0.00,0.00
316.380005,312.75,316.149994,3025700,0.00,0.00
315.660004,308.730011,310.570007,3835800,0.00,0.00
310.290009,306.350006,307.779999,3877400,0.00,0.00
309.380005,304.920013,305.820007,4130800,0.00,0.00
307.48999,305.089996,305.98999,2351700,0.00,0.00
308.339996,304.709991,306.390015,3326000,0.00,0.00
311.910004,305.459991,311.450012,4366700,0.00,0.00
318.910004,310.820007,312.329987,5042800,4164510.66,-1317447.53
316.359985,308.399994,309.290009,4056900,1014823.21,-2337142.62
306.959991,299.450012,301.910004,5103900,-745378.18,-3101887.18
302.470001,297.76001,300,8305700,-1150984.56,-3261804.06
301.480011,297.149994,300.029999,3842200,117906.33,-2626958.95
304.190002,297,302,3090700,1325814.31,-1744100.78
308.540009,304.160004,307.820007,3264600,3517119.41,-527143.47
306.5,297.640015,302.690002,3560100,4015369.10,177158.83
306.570007,300.929993,306.48999,2460400,6405955.86,1209818.39
308.579987,304.649994,305.549988,2730900,4925843.65,1051341.74
307.459991,303.26001,303.429993,2628200,2510382.38,122378.01
309.380005,305.23999,309.059998,2846200,4916582.08,496831.11
309.040009,305.619995,308.899994,3298300,7944817.99,1568379.62
312.390015,307.380005,309.910004,3549900,7980237.56,1875430.27
316.890015,311.25,314.549988,5121200,8851893.45,2107893.29
314.230011,310,312.899994,3416300,10119859.99,2414809.04
320.160004,313.380005,318.690002,3647900,12185924.87,2978221.66
320.5,314.75,315.529999,4397400,8981557.07,1918389.65
316.799988,313.339996,316.350006,3049100,11237568.47,2028244.76
320.570007,316.600006,320.369995,2999500,13934833.79,2747020.38
321.320007,317.720001,318.929993,3070300,12928440.59,2471119.81
318.420013,315.790009,317.640015,2773000,14056626.02,2492572.23
318.519989,314.25,314.859985,3478900,11571675.56,1484084.69
315.540009,307.75,308.299988,3406000,8646614.45,5903.55
307.23999,303.859985,305.230011,3614600,7962244.42,-817097.70
310.01001,304.359985,309.869995,3770100,11545488.42,60624.67
312.730011,306.850006,310.420013,3086700,12206928.29,624639.72
312.829987,307.5,311.299988,2234300,13158494.67,1101358.84
312.549988,307.709991,311.899994,2299800,14840585.11,1731467.36
313.679993,309.579987,310.950012,2856600,13893062.04,1530348.29
311.730011,308.339996,309.170013,3031200,12346190.29,816763.27
309.51001,306.809998,307.329987,3474600,10209920.48,-229131.29
311.859985,305.790009,311.519989,3653400,13454046.58,396054.81
312.670013,306.380005,310.570007,3518300,14623080.53,987773.12
312.600006,308.299988,311.859985,4421400,17522659.53,2062635.47
311.549988,305.920013,308.51001,5385700,17092202.44,2177875.95
308.799988,305.600006,308.429993,2973100,19377778.48,2754259.80
314.149994,306.630005,312.970001,3786700,21976104.54,3566406.05
313.410004,308.01001,308.480011,3370000,19192736.07,2688811.72
311.420013,306.98999,307.209991,3461200,16075311.92,1093450.75
309.980011,305.279999,309.890015,2808000,18775776.55,1200637.21
313.73999,309.619995,313.73999,3261500,22037276.55,2173087.38
314.100006,309.040009,310.790009,2907100,21141017.66,2088181.22
310.369995,308.279999,309.630005,2410700,21844638.90,2087491.71
310.200012,306.869995,308.179993,2801700,21247264.82,1707364.10
308.410004,305.480011,308.23999,2720500,23652048.65,2161800.92
307.299988,300.5,302.720001,4131100,22218319.92,1694993.12
305.269989,301.769989,303.160004,2899500,21621876.20,1160158.46
305.559998,300.25,303.070007,2736400,21791943.27,890005.76
305.619995,300.01001,304.019989,3656200,23362596.89,1198332.56
305.779999,302.01001,304.660004,3652200,24844792.82,1687134.72
306.149994,303.410004,305.179993,4736800,26227784.42,2173766.14
305.619995,302.079987,304.619995,3397200,27705666.73,2645462.81
308.100006,301.450012,307.75,3152100,30525960.74,3495299.28
312.660004,308.5,312.450012,4493000,34565358.26,4810468.03
317.290009,312.429993,316.970001,4889800,38811220.00,6262132.34
316.5,310.230011,311.119995,3609700,36226266.70,5464225.11
312.679993,309.25,311.369995,2701600,36864252.81,4844056.36
313.179993,303.940002,304.820007,3929500,33683233.98,3137839.85
306.720001,301.920013,303.630005,5294800,32160970.76,1670227.54
306.589996,300.76001,302.880005,4993000,30799243.65,484725.01
307.549988,301.679993,305.329987,5251500,32078564.71,362737.49
300.549988,294.899994,297.880005,7162800,32471603.81,404915.27
304.429993,295.359985,302.01001,6325700,35421764.02,1324046.67
301.299988,292.420013,293.51001,15609400,23644401.64,-2167655.48
301.51001,295.059998,301.059998,6056000,28855357.43,-1740988.11
305.630005,302.25,303.850006,4724000,28603793.62,-1488213.75
307.049988,299.649994,299.730011,3086300,25584238.66,-2210281.39
302.079987,296.299988,298.369995,4015800,24444817.75,-2667281.04
299.5,293.390015,298.920013,3905400,27608781.81,-1605039.51
303.209991,298.970001,302.140015,3833900,29507686.21,-420376.62
302.720001,300.589996,302.320007,2436500,31029084.72,586555.60
305.380005,303.359985,305.299988,2650000,33469141.20,1721540.79
307.470001,302.579987,305.079987,2694000,33529734.54,2048628.90
308.809998,304.98999,308.769989,5020200,38444776.03,3560075.52
311.5,308.23999,310.309998,4862300,39757303.65,4272373.79
311,307.070007,309.070007,2740300,39806118.03,4190902.77
311.070007,307.850006,310.390015,2314500,41143077.04,4201978.60
313.220001,309.049988,312.51001,3131400,43208165.83,4481585.27
313.700012,310.329987,312.619995,2330900,44045064.07,4454838.78
315.940002,311.769989,313.700012,3109500,43813927.53,3965368.25
316.920013,313.720001,314.549988,2662600,42532524.47,2996923.12
318.809998,313.26001,318.049988,3323300,44945645.48,3096104.70
321.880005,318.119995,319.73999,2975400,44534139.26,2724281.12
323.980011,319,323.790009,3425500,47698253.55,3331273.19
325.720001,322.5,324.630005,3581200,48854924.07,3644776.64
324.549988,322.76001,323.089996,2406200,47335899.57,2958358.75
324.369995,321.320007,323.820007,2428400,48888498.84,2902618.58
324.850006,321.609985,324.329987,2405700,50521975.63,3135683.98
326.399994,324.299988,326.049988,2261900,52029898.19,3425760.28
327.100006,324.109985,324.339996,2552200,49870360.37,2545869.43
323.73999,319,320.529999,2718600,48906808.49,1647886.72
326.910004,322.109985,326.230011,2950000,51020987.07,1803415.46
328.809998,325.190002,328.549988,2909600,53512616.94,2495885.32
331.839996,328.570007,330.170013,2461300,53459945.70,2535510.74
330.25,322.76001,325.859985,3366500,52880115.86,2136728.86
328.070007,323.059998,323.220001,2653800,50395822.93,988885.89
325.98999,317.410004,320,3185600,49133464.12,27755.43
325.160004,322.619995,323.880005,3869500,49103012.49,-377646.68
330.690002,325.790009,326.140015,3302400,46272392.68,-1409813.24
326.880005,323.480011,324.869995,2283400,45855989.77,-1836390.19
326.160004,320.149994,322.98999,2639800,45711034.69,-1890076.45
322.959991,319.809998,322.640015,2548900,47742100.63,-1093965.63
324.23999,320.540009,322.48999,1937300,47846810.14,-635515.84
323.829987,320.130005,323.529999,2190000,49681687.48,193630.57
324.690002,322.359985,323.75,2139500,50094904.56,646702.21
328.26001,324.820007,327.390015,3046800,51600600.81,1252343.76
329.980011,325.850006,329.76001,2805000,54106762.04,2183671.72
333.940002,329.119995,330.390015,4322900,52061937.34,1715527.87
331.48999,328.350006,329.130005,2762500,50671894.81,925771.14
329.269989,322.970001,323.109985,4029300,46821654.68,-706548.58
323,319.559998,320.200012,3071500,44893062.74,-1923726.94
320.559998,317.709991,319.019989,4245400,44550435.96,-2355796.88
322.630005,319.670013,320.600006,3229400,43350311.31,-2700247.26
322.470001,319,322.190002,3231800,46060554.82,-1733331.55
322.410004,319.390015,321.079987,6175000,46796558.21,-946016.63
323.220001,319.529999,323.119995,3375300,49988904.24,477814.72
330.670013,324.420013,329.480011,3962200,52442295.94,1797478.12
330.890015,327.570007,328.579987,3091800,51231609.58,1788714.93
334.160004,328.679993,333.410004,3181400,53542190.16,2357704.27
335.820007,331.429993,335.420013,3727800,56590676.78,3346108.89
336.320007,334.100006,335.950012,2759300,58430222.95,4031574.67
