High,Low,Close,K,D
330.670013,324.420013,329.480011,72.52,42.21
330.890015,327.570007,328.579987,66.97,57.61
334.160004,328.679993,333.410004,95.44,78.31
335.820007,331.429993,335.420013,97.79,86.74
336.320007,334.100006,335.950012,98.01,97.08
337.589996,334.920013,335.290009,88.43,94.74
335.350006,332.220001,333.600006,79.93,88.79
336.619995,332.200012,336.390015,93.96,87.44
340.380005,334.089996,335.899994,80.24,84.71
341.679993,335.540009,339.820007,91.8,88.67
341.299988,337.660004,338.309998,85.14,85.73
339.279999,336.619995,338.670013,86.5,87.81
341.350006,336.369995,338.609985,86.14,85.93
338.850006,335.660004,336.959991,72.65,81.76
337.470001,334.190002,335.25,54.43,71.07
335.829987,331.839996,334.119995,41.85,56.31
336.730011,334.369995,335.339996,38.15,44.81
336.399994,332.609985,334.149994,23.48,34.49
337.01001,334.140015,336.910004,51.52,37.72
342.5,338.399994,341,85.93,53.64
342.079987,338.410004,342,95.31,77.59
341.890015,338.700012,341.559998,91.18,90.81
341.799988,338.910004,341.459991,90.24,92.25
344.070007,340.390015,340.899994,74.08,85.17
343.480011,339.869995,341.130005,75.96,80.09
343.839996,340.929993,343.369995,94.28,81.44
346.440002,344.309998,345.350006,92.53,87.59
346.209991,343.450012,343.540009,80.14,88.98
345,340.51001,341.089996,63.36,78.68
345.720001,341.089996,344.25,84.16,75.89
347.25,343.540009,345.339996,86.95,78.16
345.380005,341.98999,342.429993,63.23,78.12
346.790009,342.850006,346.609985,92.77,80.99
347.619995,345.100006,345.76001,79.8,78.6
351.190002,346.279999,349.630005,87.51,86.69
349.660004,345.540009,347.579987,70.6,79.31
351.089996,347.519989,349.799988,87.72,81.94
351.269989,348.600006,349.309998,82.81,80.38
351,348.320007,349.809998,86.43,85.65
352.329987,350.209991,351.959991,96.87,88.7
353.420013,351.25,352.26001,91.01,91.44
352.890015,349.690002,351.190002,82.73,90.2
354.470001,349.420013,353.809998,95.07,89.6
355.109985,349.390015,349.98999,60.98,79.59
364.630005,355.149994,362.579987,90.95,82.33
364.25,358.850006,363.730011,95.87,82.6
364.429993,356.059998,358.019989,66.15,84.32
362.350006,355.920013,356.980011,59.93,73.98
359.25,353.200012,358.350006,67.1,64.39
358.950012,356.809998,358.480011,64.06,63.7
357.920013,353.670013,354.5,37.89,56.35
358.720001,353.380005,354.109985,35.5,45.82
356.299988,351.880005,353.190002,24.93,32.77
354.299988,351.25,352.559998,20.8,27.08
354.179993,349.609985,352.089996,17.72,21.15
353.5,349.660004,350.570007,7.74,15.42
354.320007,351.540009,354.26001,31.96,19.14
357.230011,354.130005,354.299988,31.23,23.64
357.350006,352.920013,355.929993,42.65,35.28
358.410004,354.529999,355.549988,40.08,37.98
358.589996,354.01001,358.290009,68.13,50.29
362.679993,358.600006,361.059998,87.61,65.27
362.470001,359.25,360.200012,81.03,78.92
363.390015,360.600006,362.459991,93.25,87.29
366.470001,360,360.470001,64.41,79.56
