High,Low,Close,Ibs
318.600006,308.700012,318.600006,1.000000
319.559998,313.299988,315.839996,0.405751
316.380005,312.75,316.149994,0.936636
315.660004,308.730011,310.570007,0.265512
310.290009,306.350006,307.779999,0.362942
309.380005,304.920013,305.820007,0.201793
307.48999,305.089996,305.98999,0.374998
308.339996,304.709991,306.390015,0.462816
311.910004,305.459991,311.450012,0.928684
318.910004,310.820007,312.329987,0.186648
316.359985,308.399994,309.290009,0.111811
306.959991,299.450012,301.910004,0.327563
302.470001,297.76001,300,0.475583
301.480011,297.149994,300.029999,0.665126
304.190002,297,302,0.695410
308.540009,304.160004,307.820007,0.835616
306.5,297.640015,302.690002,0.569977
306.570007,300.929993,306.48999,0.985813
308.579987,304.649994,305.549988,0.229007
307.459991,303.26001,303.429993,0.040472
309.380005,305.23999,309.059998,0.922704
309.040009,305.619995,308.899994,0.959060
312.390015,307.380005,309.910004,0.504989
316.890015,311.25,314.549988,0.585103
314.230011,310,312.899994,0.685576
320.160004,313.380005,318.690002,0.783186
320.5,314.75,315.529999,0.135652
316.799988,313.339996,316.350006,0.869947
320.570007,316.600006,320.369995,0.949619
321.320007,317.720001,318.929993,0.336108
318.420013,315.790009,317.640015,0.703423
318.519989,314.25,314.859985,0.142854
315.540009,307.75,308.299988,0.070602
307.23999,303.859985,305.230011,0.405333
310.01001,304.359985,309.869995,0.975219
312.730011,306.850006,310.420013,0.607144
312.829987,307.5,311.299988,0.712945
312.549988,307.709991,311.899994,0.865704
313.679993,309.579987,310.950012,0.334152
311.730011,308.339996,309.170013,0.244842
309.51001,306.809998,307.329987,0.192588
311.859985,305.790009,311.519989,0.943987
312.670013,306.380005,310.570007,0.666136
312.600006,308.299988,311.859985,0.827903
311.549988,305.920013,308.51001,0.460037
308.799988,305.600006,308.429993,0.884376
314.149994,306.630005,312.970001,0.843086
313.410004,308.01001,308.480011,0.087037
311.420013,306.98999,307.209991,0.049661
309.980011,305.279999,309.890015,0.980852
313.73999,309.619995,313.73999,1.000000
314.100006,309.040009,310.790009,0.345850
310.369995,308.279999,309.630005,0.645937
310.200012,306.869995,308.179993,0.393391
308.410004,305.480011,308.23999,0.941975
307.299988,300.5,302.720001,0.326471
305.269989,301.769989,303.160004,0.397147
305.559998,300.25,303.070007,0.531075
305.619995,300.01001,304.019989,0.714793
305.779999,302.01001,304.660004,0.702918
306.149994,303.410004,305.179993,0.645984
305.619995,302.079987,304.619995,0.717515
308.100006,301.450012,307.75,0.947367
312.660004,308.5,312.450012,0.949521
317.290009,312.429993,316.970001,0.934155
316.5,310.230011,311.119995,0.141943
312.679993,309.25,311.369995,0.618076
313.179993,303.940002,304.820007,0.095239
306.720001,301.920013,303.630005,0.356249
306.589996,300.76001,302.880005,0.363636
307.549988,301.679993,305.329987,0.621805
300.549988,294.899994,297.880005,0.527436
304.429993,295.359985,302.01001,0.733188
301.299988,292.420013,293.51001,0.122748
301.51001,295.059998,301.059998,0.930231
305.630005,302.25,303.850006,0.473374
307.049988,299.649994,299.730011,0.010813
302.079987,296.299988,298.369995,0.358133
299.5,293.390015,298.920013,0.905076
303.209991,298.970001,302.140015,0.747647
302.720001,300.589996,302.320007,0.812210
305.380005,303.359985,305.299988,0.960388
307.470001,302.579987,305.079987,0.511246
308.809998,304.98999,308.769989,0.989526
311.5,308.23999,310.309998,0.634970
311,307.070007,309.070007,0.508907
311.070007,307.850006,310.390015,0.788822
313.220001,309.049988,312.51001,0.829739
313.700012,310.329987,312.619995,0.679523
315.940002,311.769989,313.700012,0.462834
316.920013,313.720001,314.549988,0.259370
318.809998,313.26001,318.049988,0.863061
321.880005,318.119995,319.73999,0.430849
323.980011,319,323.790009,0.961847
325.720001,322.5,324.630005,0.661492
324.549988,322.76001,323.089996,0.184352
324.369995,321.320007,323.820007,0.819675
324.850006,321.609985,324.329987,0.839501
326.399994,324.299988,326.049988,0.833331
327.100006,324.109985,324.339996,0.076926
323.73999,319,320.529999,0.322785
326.910004,322.109985,326.230011,0.858335
328.809998,325.190002,328.549988,0.928174
331.839996,328.570007,330.170013,0.489300
330.25,322.76001,325.859985,0.413882
328.070007,323.059998,323.220001,0.031937
325.98999,317.410004,320,0.301865
325.160004,322.619995,323.880005,0.496065
330.690002,325.790009,326.140015,0.071430
326.880005,323.480011,324.869995,0.408820
326.160004,320.149994,322.98999,0.472544
322.959991,319.809998,322.640015,0.898420
324.23999,320.540009,322.48999,0.527025
323.829987,320.130005,323.529999,0.918922
324.690002,322.359985,323.75,0.596569
328.26001,324.820007,327.390015,0.747095
329.980011,325.850006,329.76001,0.946731
333.940002,329.119995,330.390015,0.263489
331.48999,328.350006,329.130005,0.248409
329.269989,322.970001,323.109985,0.022220
323,319.559998,320.200012,0.186050
320.559998,317.709991,319.019989,0.459647
322.630005,319.670013,320.600006,0.314188
322.470001,319,322.190002,0.919309
322.410004,319.390015,321.079987,0.559595
323.220001,319.529999,323.119995,0.972898
330.670013,324.420013,329.480011,0.809600
330.890015,327.570007,328.579987,0.304210
334.160004,328.679993,333.410004,0.863139
335.820007,331.429993,335.420013,0.908885
336.320007,334.100006,335.950012,0.833336
337.589996,334.920013,335.290009,0.138576
335.350006,332.220001,333.600006,0.440895
336.619995,332.200012,336.390015,0.947968
340.380005,334.089996,335.899994,0.287758
341.679993,335.540009,339.820007,0.697070
341.299988,337.660004,338.309998,0.178571
339.279999,336.619995,338.670013,0.770682
341.350006,336.369995,338.609985,0.449796
338.850006,335.660004,336.959991,0.407519
337.470001,334.190002,335.25,0.323170
335.829987,331.839996,334.119995,0.571430
336.730011,334.369995,335.339996,0.411015
336.399994,332.609985,334.149994,0.406334
337.01001,334.140015,336.910004,0.965155
342.5,338.399994,341,0.634147
342.079987,338.410004,342,0.978205
341.890015,338.700012,341.559998,0.896546
341.799988,338.910004,341.459991,0.882353
344.070007,340.390015,340.899994,0.138582
343.480011,339.869995,341.130005,0.349032
343.839996,340.929993,343.369995,0.838488
346.440002,344.309998,345.350006,0.488266
346.209991,343.450012,343.540009,0.032608
345,340.51001,341.089996,0.129173
345.720001,341.089996,344.25,0.682506
347.25,343.540009,345.339996,0.485173
345.380005,341.98999,342.429993,0.129794
346.790009,342.850006,346.609985,0.954309
347.619995,345.100006,345.76001,0.261907
351.190002,346.279999,349.630005,0.682282
349.660004,345.540009,347.579987,0.495141
351.089996,347.519989,349.799988,0.638654
351.269989,348.600006,349.309998,0.265916
351,348.320007,349.809998,0.555968
352.329987,350.209991,351.959991,0.825473
353.420013,351.25,352.26001,0.465440
352.890015,349.690002,351.190002,0.468748
354.470001,349.420013,353.809998,0.869306
355.109985,349.390015,349.98999,0.104891
364.630005,355.149994,362.579987,0.783754
364.25,358.850006,363.730011,0.903706
364.429993,356.059998,358.019989,0.234169
362.350006,355.920013,356.980011,0.164852
359.25,353.200012,358.350006,0.851240
358.950012,356.809998,358.480011,0.780375
357.920013,353.670013,354.5,0.195291
358.720001,353.380005,354.109985,0.136700
356.299988,351.880005,353.190002,0.296381
354.299988,351.25,352.559998,0.429509
