Volume,Pvo,Signal,Histogram
2239500,-6.24,-3.44,-2.80
2521100,-6.27,-4.01,-2.26
2136800,-7.40,-4.69,-2.71
1728000,-9.55,-5.66,-3.89
2285600,-9.42,-6.41,-3.01
3058300,-6.74,-6.48,-0.26
2842300,-5.26,-6.23,0.97
2637900,-4.68,-5.92,1.25
2976800,-3.13,-5.36,2.23
2655800,-2.86,-4.86,2.00
3263800,-0.81,-4.05,3.24
3019100,0.06,-3.23,3.29
2921600,0.46,-2.49,2.95
2898400,0.69,-1.86,2.55
3261400,1.88,-1.11,2.99
3670100,3.87,-0.11,3.98
11595000,22.29,4.37,17.92
3130900,18.09,7.11,10.98
2603700,13.51,8.39,5.12
2268400,8.94,8.50,0.44
3178600,7.17,8.24,-1.06
3969400,7.46,8.08,-0.62
2556200,4.44,7.35,-2.92
3063900,3.14,6.51,-3.37
3535400,3.19,5.85,-2.65
2731700,1.30,4.94,-3.64
4932900,4.93,4.94,-0.00
3527600,4.46,4.84,-0.39
3151700,3.18,4.51,-1.33
3244600,2.35,4.08,-1.73
3027300,1.16,3.49,-2.33
3174700,0.56,2.91,-2.35
2762800,-0.92,2.14,-3.06
2858600,-1.87,1.34,-3.20
2620800,-3.20,0.43,-3.63
2677500,-4.10,-0.48,-3.63
2804800,-4.45,-1.27,-3.18
3117800,-3.85,-1.79,-2.06
2998600,-3.65,-2.16,-1.49
2977100,-3.51,-2.43,-1.08
2741300,-3.99,-2.74,-1.25
3466100,-2.40,-2.67,0.27
2794200,-2.90,-2.72,-0.18
2355700,-4.45,-3.06,-1.38
2623200,-4.92,-3.43,-1.48
2685400,-5.07,-3.76,-1.31
3608200,-2.60,-3.53,0.93
2634700,-3.28,-3.48,0.20
3066900,-2.61,-3.31,0.69
2789700,-2.81,-3.21,0.40
3433700,-1.19,-2.80,1.61
4409100,2.55,-1.73,4.28
5486200,7.74,0.16,7.58
3062900,6.00,1.33,4.67
2602400,3.47,1.76,1.71
3052100,2.50,1.91,0.59
3701100,3.26,2.18,1.09
2196200,0.17,1.78,-1.61
3387500,0.66,1.55,-0.89
3572900,1.50,1.54,-0.05
2822500,0.28,1.29,-1.01
3260000,0.40,1.11,-0.71
3215300,0.39,0.97,-0.58
2918800,-0.37,0.70,-1.07
2110200,-3.07,-0.05,-3.02
1282000,-7.61,-1.57,-6.04
2580300,-7.54,-2.76,-4.78
2953500,-6.33,-3.47,-2.86
3141100,-4.78,-3.74,-1.04
