Close,StochasticRsi
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0
309.059998,0
308.899994,0
309.910004,0
314.549988,0
312.899994,0
318.690002,0
315.529999,0
316.350006,0.89
320.369995,1
318.929993,0.92
317.640015,0.82
314.859985,0.64
308.299988,0.29
305.230011,0
309.869995,0.34
310.420013,0.38
311.299988,0.44
311.899994,0.49
310.950012,0.42
309.170013,0.29
307.329987,0.16
311.519989,0.52
310.570007,0.5
311.859985,0.71
308.51001,0.52
308.429993,0.52
312.970001,1
308.480011,0.34
307.209991,0.17
309.890015,0.61
313.73999,1
310.790009,0.62
309.630005,0.48
308.179993,0.3
308.23999,0.2
302.720001,0
303.160004,0.05
303.070007,0.05
304.019989,0.18
304.660004,0.26
305.179993,0.34
304.619995,0.27
307.75,0.72
312.450012,1
316.970001,1
311.119995,0.58
311.369995,0.59
304.820007,0.22
303.630005,0.16
302.880005,0.1
305.329987,0.27
297.880005,0
302.01001,0.24
293.51001,0
301.059998,0.34
303.850006,0.45
299.730011,0.31
298.369995,0.27
298.920013,0.46
302.140015,0.68
302.320007,0.98
305.299988,1
305.079987,0.98
308.769989,1
310.309998,1
309.070007,0.91
310.390015,0.99
312.51001,1
312.619995,1
313.700012,1
314.549988,1
318.049988,1
319.73999,1
323.790009,1
324.630005,1
323.089996,0.83
323.820007,0.83
324.329987,0.86
326.049988,0.97
324.339996,0.68
320.529999,0
326.230011,0.51
328.549988,0.68
330.170013,0.8
325.859985,0.16
323.220001,0
320,0
323.880005,0.24
326.140015,0.37
324.869995,0.27
322.98999,0.12
322.640015,0.1
322.48999,0.09
323.529999,0.18
323.75,0.2
327.390015,0.5
329.76001,0.67
330.390015,1
329.130005,0.77
323.109985,0
320.200012,0
319.019989,0
320.600006,0.14
322.190002,0.27
321.079987,0.18
323.119995,0.36
329.480011,0.8
328.579987,0.72
333.410004,1
335.420013,1
335.950012,1
335.290009,0.94
333.600006,0.78
336.390015,0.93
335.899994,0.88
339.820007,1
338.309998,0.84
338.670013,0.86
338.609985,0.82
336.959991,0.27
335.25,0
334.119995,0
335.339996,0.16
334.149994,0
336.910004,0.34
341,0.76
342,0.84
341.559998,0.76
341.459991,0.75
340.899994,0.75
341.130005,0.78
343.369995,1
345.350006,1
343.540009,0.65
341.089996,0.23
344.25,0.55
345.339996,0.66
342.429993,0
346.609985,0.49
345.76001,0.33
349.630005,0.73
347.579987,0.36
349.799988,0.58
349.309998,0.49
349.809998,0.54
351.959991,0.77
352.26001,1
351.190002,0.71
353.809998,1
349.98999,0.12
362.579987,1
363.730011,1
358.019989,0.27
356.980011,0.15
358.350006,0.25
358.480011,0.26
354.5,0
354.109985,0
353.190002,0
352.559998,0
352.089996,0
350.570007,0
354.26001,0.26
354.299988,0.26
355.929993,0.37
355.549988,0.58
358.290009,0.9
361.059998,1
360.200012,0.87
362.459991,1
360.470001,0.72
361.670013,0.82
361.799988,0.83
363.149994,0.95
365.519989,1
367.779999,1
367.820007,1
369.5,1
367.859985,0.69
370.429993,0.85
370.480011,0.86
366.820007,0
363.279999,0
360.160004,0
361.709991,0.11
359.420013,0
357.779999,0
357.059998,0
350.299988,0
348.079987,0
343.040009,0
343.690002,0.03
345.059998,0.1
346.339996,0.17
345.450012,0.19
348.559998,0.5
348.429993,0.56
345.660004,0.4
345.089996,0.45
346.230011,0.68
345.390015,0.65
340.890015,0.34
338.660004,0.17
335.859985,0
336.839996,0.19
338.630005,0.52
336.899994,0.37
336.160004,0.31
331.709991,0
337.410004,0.93
341.329987,1
343.75,1
349.019989,1
351.809998,1
346.630005,0.77
346.170013,0.76
346.299988,0.76
348.179993,0.84
350.559998,0.93
350.01001,0.9
354.25,1
356.790009,1
359.859985,1
358.929993,0.92
361.329987,1
361,0.96
361.799988,1
362.679993,1
361.339996,0.82
360.049988,0.64
358.690002,0.37
