Close,Ppo,Signal,Histogram
361.799988,0.84,0.77,0.07
363.149994,0.87,0.79,0.08
365.519989,0.94,0.82,0.12
367.779999,1.03,0.86,0.16
367.820007,1.09,0.91,0.18
369.5,1.16,0.96,0.2
367.859985,1.16,1,0.16
370.429993,1.21,1.04,0.17
370.480011,1.23,1.08,0.15
366.820007,1.16,1.09,0.06
363.279999,1.01,1.08,-0.07
360.160004,0.81,1.02,-0.21
361.709991,0.68,0.95,-0.27
359.420013,0.52,0.87,-0.35
357.779999,0.35,0.76,-0.41
357.059998,0.2,0.65,-0.45
350.299988,-0.07,0.51,-0.58
348.079987,-0.33,0.34,-0.67
343.040009,-0.64,0.14,-0.79
343.690002,-0.87,-0.06,-0.81
345.059998,-1.01,-0.25,-0.76
346.339996,-1.08,-0.42,-0.66
345.450012,-1.14,-0.56,-0.58
348.559998,-1.11,-0.67,-0.44
348.429993,-1.07,-0.75,-0.32
345.660004,-1.09,-0.82,-0.27
345.089996,-1.11,-0.88,-0.23
346.230011,-1.09,-0.92,-0.17
345.390015,-1.07,-0.95,-0.12
340.890015,-1.16,-0.99,-0.17
338.660004,-1.26,-1.04,-0.21
335.859985,-1.39,-1.11,-0.28
336.839996,-1.46,-1.18,-0.27
338.630005,-1.45,-1.24,-0.22
336.899994,-1.47,-1.28,-0.19
336.160004,-1.49,-1.32,-0.16
331.709991,-1.59,-1.38,-0.21
337.410004,-1.52,-1.4,-0.11
341.329987,-1.35,-1.39,0.04
343.75,-1.15,-1.34,0.2
349.019989,-0.85,-1.25,0.39
351.809998,-0.55,-1.11,0.56
346.630005,-0.42,-0.97,0.55
346.170013,-0.33,-0.84,0.51
346.299988,-0.25,-0.72,0.47
348.179993,-0.15,-0.61,0.46
350.559998,-0,-0.49,0.48
350.01001,0.09,-0.37,0.46
354.25,0.27,-0.24,0.51
356.790009,0.46,-0.1,0.56
359.859985,0.67,0.05,0.62
358.929993,0.81,0.2,0.6
361.329987,0.96,0.35,0.6
361,1.06,0.49,0.56
361.799988,1.14,0.62,0.52
362.679993,1.21,0.74,0.47
361.339996,1.22,0.84,0.39
360.049988,1.19,0.91,0.28
358.690002,1.12,0.95,0.17
