Close,Volume,Nvi
318.600006,7919700,0.00
315.839996,4351600,991.34
316.149994,3025700,992.31
310.570007,3835800,992.31
307.779999,3877400,992.31
305.820007,4130800,992.31
305.98999,2351700,992.86
306.390015,3326000,992.86
311.450012,4366700,992.86
312.329987,5042800,992.86
309.290009,4056900,983.20
301.910004,5103900,983.20
300,8305700,983.20
300.029999,3842200,983.30
302,3090700,989.75
307.820007,3264600,989.75
302.690002,3560100,989.75
306.48999,2460400,1002.18
305.549988,2730900,1002.18
303.429993,2628200,995.22
309.059998,2846200,995.22
308.899994,3298300,995.22
309.910004,3549900,995.22
314.549988,5121200,995.22
312.899994,3416300,990.00
318.690002,3647900,990.00
315.529999,4397400,990.00
316.350006,3049100,992.58
320.369995,2999500,1005.19
318.929993,3070300,1005.19
317.640015,2773000,1001.12
314.859985,3478900,1001.12
308.299988,3406000,980.27
305.230011,3614600,980.27
309.869995,3770100,980.27
310.420013,3086700,982.01
311.299988,2234300,984.79
311.899994,2299800,984.79
310.950012,2856600,984.79
309.170013,3031200,984.79
307.329987,3474600,984.79
311.519989,3653400,984.79
310.570007,3518300,981.79
311.859985,4421400,981.79
308.51001,5385700,981.79
308.429993,2973100,981.53
312.970001,3786700,981.53
308.480011,3370000,967.45
307.209991,3461200,967.45
309.890015,2808000,975.89
313.73999,3261500,975.89
310.790009,2907100,966.71
309.630005,2410700,963.11
308.179993,2801700,963.11
308.23999,2720500,963.29
302.720001,4131100,963.29
303.160004,2899500,964.69
303.070007,2736400,964.41
304.019989,3656200,964.41
304.660004,3652200,966.44
305.179993,4736800,966.44
304.619995,3397200,964.66
307.75,3152100,974.58
312.450012,4493000,974.58
316.970001,4889800,974.58
311.119995,3609700,956.59
311.369995,2701600,957.36
304.820007,3929500,957.36
303.630005,5294800,957.36
302.880005,4993000,954.99
305.329987,5251500,954.99
297.880005,7162800,954.99
302.01001,6325700,968.23
293.51001,15609400,968.23
301.059998,6056000,993.14
303.850006,4724000,1002.34
299.730011,3086300,988.75
298.369995,4015800,988.75
298.920013,3905400,990.58
302.140015,3833900,1001.25
302.320007,2436500,1001.84
305.299988,2650000,1001.84
305.079987,2694000,1001.84
308.769989,5020200,1001.84
310.309998,4862300,1006.84
309.070007,2740300,1002.82
310.390015,2314500,1007.10
312.51001,3131400,1007.10
312.619995,2330900,1007.45
313.700012,3109500,1007.45
314.549988,2662600,1010.18
318.049988,3323300,1010.18
319.73999,2975400,1015.55
323.790009,3425500,1015.55
324.630005,3581200,1015.55
323.089996,2406200,1010.73
323.820007,2428400,1010.73
324.329987,2405700,1012.33
326.049988,2261900,1017.69
324.339996,2552200,1017.69
320.529999,2718600,1017.69
326.230011,2950000,1017.69
328.549988,2909600,1024.93
330.170013,2461300,1029.98
325.859985,3366500,1029.98
323.220001,2653800,1021.64
320,3185600,1021.64
323.880005,3869500,1021.64
326.140015,3302400,1028.77
324.869995,2283400,1024.76
322.98999,2639800,1024.76
322.640015,2548900,1023.65
322.48999,1937300,1023.18
323.529999,2190000,1023.18
323.75,2139500,1023.87
327.390015,3046800,1023.87
329.76001,2805000,1031.28
330.390015,4322900,1031.28
329.130005,2762500,1027.35
323.109985,4029300,1027.35
320.200012,3071500,1018.10
319.019989,4245400,1018.10
320.600006,3229400,1023.14
322.190002,3231800,1023.14
321.079987,6175000,1023.14
323.119995,3375300,1029.64
329.480011,3962200,1029.64
