High,Low,Volume,Mfi
345.380005,341.98999,3032100,55.24
346.790009,342.850006,3146000,62.14
347.619995,345.100006,3301900,61.02
351.190002,346.279999,3269400,59.06
349.660004,345.540009,3014000,51.72
351.089996,347.519989,2682900,51.46
351.269989,348.600006,2706700,51.25
351,348.320007,2473300,44.43
352.329987,350.209991,2621600,51.22
353.420013,351.25,2293300,44.55
352.890015,349.690002,3085900,52.15
354.470001,349.420013,2942000,51.69
355.109985,349.390015,2842000,50.98
364.630005,355.149994,5379900,54.42
364.25,358.850006,3428800,46.85
364.429993,356.059998,4424600,48.57
362.350006,355.920013,3098800,41.37
359.25,353.200012,2475200,42.06
358.950012,356.809998,1990700,43.00
357.920013,353.670013,2863700,49.49
358.720001,353.380005,2196100,43.72
356.299988,351.880005,2847700,49.96
354.299988,351.25,2870600,50.27
354.179993,349.609985,2540000,49.98
353.5,349.660004,2363300,43.63
354.320007,351.540009,2239500,44.35
357.230011,354.130005,2521100,50.76
357.350006,352.920013,2136800,40.87
358.410004,354.529999,1728000,42.84
358.589996,354.01001,2285600,39.17
362.679993,358.600006,3058300,48.30
362.470001,359.25,2842300,47.73
363.390015,360.600006,2637900,46.81
366.470001,360,2976800,47.07
362.799988,359.26001,2655800,46.42
363.299988,360.869995,3263800,47.14
364.829987,361.769989,3019100,39.04
366.609985,364.51001,2921600,38.53
370.429993,365.470001,2898400,37.85
370.839996,365.970001,3261400,45.42
370.220001,368.26001,3670100,47.17
370.200012,367.519989,11595000,61.87
371.329987,367.790009,3130900,60.05
373.339996,368.459991,2603700,55.15
371.339996,366.730011,2268400,49.91
367.200012,362.940002,3178600,55.86
363.420013,359.76001,3969400,62.05
361.890015,357.269989,2556200,56.80
360.790009,357.950012,3063900,62.22
360.519989,354.269989,3535400,62.39
359.470001,356.670013,2731700,62.78
357.5,348.549988,4932900,69.56
350,345.410004,3527600,68.99
348.23999,342.130005,3151700,63.23
344.01001,339.51001,3244600,62.76
345.940002,342.369995,3027300,48.74
348.76001,341.859985,3174700,55.80
345.899994,342.829987,2762800,55.85
349.51001,345.5,2858600,61.47
349.600006,344.920013,2620800,55.12
348.660004,343.019989,2677500,53.63
348.440002,343.880005,2804800,59.76
349.940002,345.829987,3117800,59.72
348.410004,344.149994,2998600,52.27
344.829987,339.959991,2977100,52.13
342.690002,338.450012,2741300,42.95
340,334.350006,3466100,51.28
338.880005,333.48999,2794200,51.81
339.850006,337.769989,2355700,44.98
339.619995,336.549988,2623200,51.96
338.320007,335.459991,2685400,51.27
336.190002,330.579987,3608200,59.07
338.359985,332.179993,2634700,52.28
341.48999,337.5,3066900,59.33
345.329987,340.579987,2789700,52.50
349.390015,344.5,3433700,53.24
354.350006,349.790009,4409100,54.75
354.029999,344.059998,5486200,64.07
346.950012,344.299988,3062900,63.91
348,344.690002,2602400,64.04
350.109985,346.880005,3052100,63.80
351.200012,348.600006,3701100,70.62
350.649994,348.809998,2196200,70.76
355.950012,351.25,3387500,71.33
357.309998,354.480011,3572900,71.97
360,357.230011,2822500,65.36
360.559998,358.070007,3260000,71.35
362.609985,358.179993,3215300,64.54
363.029999,360.25,2918800,64.16
362.459991,360.049988,2110200,58.50
363.190002,361.23999,1282000,52.43
362.640015,359.579987,2580300,49.11
362.119995,359.209991,2953500,56.64
361.519989,358.299988,3141100,63.61
