Close,Volume,Fi
318.600006,7919700,0.00
315.839996,4351600,0.00
316.149994,3025700,0.00
310.570007,3835800,0.00
307.779999,3877400,0.00
305.820007,4130800,0.00
305.98999,2351700,0.00
306.390015,3326000,0.00
311.450012,4366700,0.00
312.329987,5042800,0.00
309.290009,4056900,0.00
301.910004,5103900,0.00
300,8305700,0.00
300.029999,3842200,-6836586.00
302,3090700,-4990119.13
307.820007,3264600,-1562959.99
302.690002,3560100,-3948727.25
306.48999,2460400,-2048981.86
305.549988,2730900,-2122991.80
303.429993,2628200,-2615674.53
309.059998,2846200,47153.30
308.899994,3298300,-34974.49
309.910004,3549900,482226.80
314.549988,5121200,3807949.55
312.899994,3416300,2458688.97
318.690002,3647900,5124786.29
315.529999,4397400,2407560.07
316.350006,3049100,2420806.26
320.369995,2999500,3797542.08
318.929993,3070300,2623430.62
317.640015,2773000,1737639.24
314.859985,3478900,107769.87
308.299988,3406000,-3099532.94
305.230011,3614600,-4241990.93
309.869995,3770100,-1136963.13
310.420013,3086700,-732005.46
311.299988,2234300,-346557.80
311.899994,2299800,-99921.86
310.950012,2856600,-473321.39
309.170013,3031200,-1176494.47
307.329987,3474600,-1921760.17
311.519989,3653400,539598.90
310.570007,3518300,-14961.18
311.859985,4421400,801963.09
308.51001,5385700,-1890025.97
308.429993,2973100,-1654007.77
312.970001,3786700,1038228.81
308.480011,3370000,-1271699.06
307.209991,3461200,-1717998.23
309.890015,2808000,-397497.42
313.73999,3261500,1453101.27
310.790009,2907100,20388.27
309.630005,2410700,-382013.15
308.179993,2801700,-907796.79
308.23999,2720500,-754794.13
302.720001,4131100,-3904627.33
303.160004,2899500,-3164567.90
303.070007,2736400,-2747667.88
304.019989,3656200,-1858954.73
304.660004,3652200,-1259466.51
305.179993,4736800,-727673.60
304.619995,3397200,-895495.26
307.75,3152100,641873.89
312.450012,4493000,3566913.89
316.970001,4889800,6214760.80
311.119995,3609700,2310256.87
311.369995,2701600,2076705.89
304.820007,3929500,-1896848.93
303.630005,5294800,-2525988.02
302.880005,4993000,-2700096.88
305.329987,5251500,-476357.26
297.880005,7162800,-8031553.51
302.01001,6325700,-3152021.21
293.51001,15609400,-21656003.89
301.059998,6056000,-12030470.86
303.850006,4724000,-8428975.34
299.730011,3086300,-9041341.80
298.369995,4015800,-8529943.29
298.920013,3905400,-7004517.07
