Close,Volume,Fi
335.859985,3466100,-4652569.52
336.839996,2794200,-3596724.34
338.630005,2355700,-2480517.40
336.899994,2623200,-2774467.04
336.160004,2685400,-2661995.91
331.709991,3608200,-4575501.77
337.410004,2634700,-1776455.19
341.329987,3066900,194780.67
343.75,2789700,1131399.18
349.019989,3433700,3554850.91
351.809998,4409100,4804362.02
346.630005,5486200,58242.07
346.170013,3062900,-151351.01
346.299988,2602400,-81408.45
348.179993,3052100,749930.37
350.559998,3701100,1901174.10
350.01001,2196200,1457023.00
354.25,3387500,3300729.16
356.790009,3572900,4125653.30
359.859985,2822500,4774132.44
358.929993,3260000,3659002.96
361.329987,3215300,4238674.06
361,2918800,3495554.05
361.799988,2110200,3237351.28
362.679993,1282000,2936039.16
361.339996,2580300,2022662.95
360.049988,2953500,1189419.87
358.690002,3141100,409238.17
