Close,Volume,Vwap
318.600006,7919700,0.00
315.839996,4351600,0.00
316.149994,3025700,0.00
310.570007,3835800,0.00
307.779999,3877400,0.00
305.820007,4130800,0.00
305.98999,2351700,0.00
306.390015,3326000,0.00
311.450012,4366700,0.00
312.329987,5042800,0.00
309.290009,4056900,0.00
301.910004,5103900,0.00
300,8305700,0.00
300.029999,3842200,308.73
302,3090700,307.05
307.820007,3264600,306.43
302.690002,3560100,305.69
306.48999,2460400,305.40
305.549988,2730900,305.24
303.429993,2628200,305.11
309.059998,2846200,305.28
308.899994,3298300,305.43
309.910004,3549900,305.23
314.549988,5121200,305.46
312.899994,3416300,305.64
318.690002,3647900,306.93
315.529999,4397400,308.92
316.350006,3049100,310.13
320.369995,2999500,311.32
318.929993,3070300,312.06
317.640015,2773000,313.12
314.859985,3478900,313.60
308.299988,3406000,313.68
305.230011,3614600,313.61
309.869995,3770100,313.58
310.420013,3086700,313.70
311.299988,2234300,313.87
311.899994,2299800,313.69
310.950012,2856600,313.58
309.170013,3031200,312.85
307.329987,3474600,312.13
311.519989,3653400,311.79
310.570007,3518300,311.11
311.859985,4421400,310.65
308.51001,5385700,310.01
308.429993,2973100,309.56
312.970001,3786700,309.92
308.480011,3370000,310.17
307.209991,3461200,309.98
309.890015,2808000,309.95
313.73999,3261500,310.14
310.790009,2907100,310.10
309.630005,2410700,310.02
308.179993,2801700,309.97
308.23999,2720500,310.06
302.720001,4131100,309.32
303.160004,2899500,308.85
303.070007,2736400,308.21
304.019989,3656200,307.83
304.660004,3652200,307.53
305.179993,4736800,306.83
304.619995,3397200,306.54
307.75,3152100,306.58
312.450012,4493000,306.94
316.970001,4889800,307.49
311.119995,3609700,307.56
311.369995,2701600,307.67
304.820007,3929500,307.42
303.630005,5294800,307.00
302.880005,4993000,306.95
305.329987,5251500,306.99
297.880005,7162800,306.10
302.01001,6325700,305.81
293.51001,15609400,303.32
301.059998,6056000,303.03
303.850006,4724000,303.01
299.730011,3086300,302.69
298.369995,4015800,301.90
298.920013,3905400,300.79
302.140015,3833900,300.37
302.320007,2436500,300.05
305.299988,2650000,299.98
305.079987,2694000,299.91
308.769989,5020200,300.31
310.309998,4862300,300.62
309.070007,2740300,301.25
310.390015,2314500,301.51
312.51001,3131400,304.60
312.619995,2330900,305.44
313.700012,3109500,306.16
314.549988,2662600,307.08
318.049988,3323300,308.67
