Close,Volume,Vpt
318.600006,7919700,0.00
315.839996,4351600,-37697.61
316.149994,3025700,-34727.88
310.570007,3835800,-102429.02
307.779999,3877400,-137261.67
305.820007,4130800,-163567.26
305.98999,2351700,-162260.12
306.390015,3326000,-157911.99
311.450012,4366700,-85796.43
312.329987,5042800,-71548.44
309.290009,4056900,-111035.16
301.910004,5103900,-232819.91
300,8305700,-285365.10
300.029999,3842200,-284980.90
302,3090700,-264687.32
307.820007,3264600,-201773.43
302.690002,3560100,-261104.63
306.48999,2460400,-230216.63
305.549988,2730900,-238592.27
303.429993,2628200,-256827.49
309.059998,2846200,-204017.55
308.899994,3298300,-205725.12
309.910004,3549900,-194118.01
314.549988,5121200,-117443.22
312.899994,3416300,-135363.66
318.690002,3647900,-67861.67
315.529999,4397400,-111464.54
316.350006,3049100,-103540.46
320.369995,2999500,-65424.59
318.929993,3070300,-79225.00
317.640015,2773000,-90440.97
314.859985,3478900,-120888.79
308.299988,3406000,-191851.61
305.230011,3614600,-227844.92
309.869995,3770100,-170533.38
310.420013,3086700,-165054.50
311.299988,2234300,-158720.73
311.899994,2299800,-154288.05
310.950012,2856600,-162988.65
309.170013,3031200,-180340.42
307.329987,3474600,-201019.51
311.519989,3653400,-151210.66
310.570007,3518300,-161939.74
311.859985,4421400,-143575.09
308.51001,5385700,-201427.85
308.429993,2973100,-202198.97
312.970001,3786700,-146459.74
308.480011,3370000,-194807.08
307.209991,3461200,-209056.93
309.890015,2808000,-184560.63
313.73999,3261500,-144040.79
