High,Low,Close,Volume,Mfv
318.600006,308.700012,318.600006,7919700,7919700.00
319.559998,313.299988,315.839996,4351600,-820264.17
316.380005,312.75,316.149994,3025700,2642260.15
315.660004,308.730011,310.570007,3835800,-1798898.47
310.290009,306.350006,307.779999,3877400,-1062856.53
309.380005,304.920013,305.820007,4130800,-2463669.11
307.48999,305.089996,305.98999,2351700,-587932.35
308.339996,304.709991,306.390015,3326000,-247348.69
311.910004,305.459991,311.450012,4366700,3743864.96
318.910004,310.820007,312.329987,5042800,-3160345.13
316.359985,308.399994,309.290009,4056900,-3149687.45
306.959991,299.450012,301.910004,5103900,-1760201.39
302.470001,297.76001,300,8305700,-405606.37
301.480011,297.149994,300.029999,3842200,1268890.89
304.190002,297,302,3090700,1207907.98
308.540009,304.160004,307.820007,3264600,2191305.09
306.5,297.640015,302.690002,3560100,498249.70
306.570007,300.929993,306.48999,2460400,2390586.76
308.579987,304.649994,305.549988,2730900,-1480112.22
307.459991,303.26001,303.429993,2628200,-2415461.27
309.380005,305.23999,309.059998,2846200,2406199.70
309.040009,305.619995,308.899994,3298300,3028235.92
312.390015,307.380005,309.910004,3549900,35419.57
316.890015,311.25,314.549988,5121200,871655.89
314.230011,310,312.899994,3416300,1267966.54
320.160004,313.380005,318.690002,3647900,2066064.87
320.5,314.75,315.529999,4397400,-3204367.79
316.799988,313.339996,316.350006,3049100,2256011.39
320.570007,316.600006,320.369995,2999500,2697265.32
321.320007,317.720001,318.929993,3070300,-1006393.20
318.420013,315.790009,317.640015,2773000,1128185.43
318.519989,314.25,314.859985,3478900,-2484950.45
315.540009,307.75,308.299988,3406000,-2925061.11
307.23999,303.859985,305.230011,3614600,-684370.03
310.01001,304.359985,309.869995,3770100,3583243.99
312.730011,306.850006,310.420013,3086700,661439.88
312.829987,307.5,311.299988,2234300,951566.38
312.549988,307.709991,311.899994,2299800,1682090.44
313.679993,309.579987,310.950012,2856600,-947523.08
311.730011,308.339996,309.170013,3031200,-1546871.74
309.51001,306.809998,307.329987,3474600,-2136269.82
311.859985,305.790009,311.519989,3653400,3244126.10
312.670013,306.380005,310.570007,3518300,1169033.95
312.600006,308.299988,311.859985,4421400,2899579.00
311.549988,305.920013,308.51001,5385700,-430457.09
308.799988,305.600006,308.429993,2973100,2285576.05
314.149994,306.630005,312.970001,3786700,2598326.06
313.410004,308.01001,308.480011,3370000,-2783368.47
311.420013,306.98999,307.209991,3461200,-3117424.15
309.980011,305.279999,309.890015,2808000,2700464.63
313.73999,309.619995,313.73999,3261500,3261500.00
314.100006,309.040009,310.790009,2907100,-896258.89
310.369995,308.279999,309.630005,2410700,703621.24
310.200012,306.869995,308.179993,2801700,-597374.08
308.410004,305.480011,308.23999,2720500,2404783.83
307.299988,300.5,302.720001,4131100,-1433728.73
305.269989,301.769989,303.160004,2899500,-596443.72
305.559998,300.25,303.070007,2736400,170067.07
305.619995,300.01001,304.019989,3656200,1570653.63
305.779999,302.01001,304.660004,3652200,1482195.93
306.149994,303.410004,305.179993,4736800,1382991.60
305.619995,302.079987,304.619995,3397200,1477882.30
308.100006,301.450012,307.75,3152100,2820294.01
312.660004,308.5,312.450012,4493000,4039397.52
317.290009,312.429993,316.970001,4889800,4245861.74
316.5,310.230011,311.119995,3609700,-2584953.31
312.679993,309.25,311.369995,2701600,637986.11
313.179993,303.940002,304.820007,3929500,-3181018.83
306.720001,301.920013,303.630005,5294800,-1522263.22
306.589996,300.76001,302.880005,4993000,-1361727.12
307.549988,301.679993,305.329987,5251500,1279321.06
300.549988,294.899994,297.880005,7162800,393039.10
304.429993,295.359985,302.01001,6325700,2950160.21
301.299988,292.420013,293.51001,15609400,-11777362.37
301.51001,295.059998,301.059998,6056000,5210955.78
305.630005,302.25,303.850006,4724000,-251563.81
307.049988,299.649994,299.730011,3086300,-3019554.95
302.079987,296.299988,298.369995,4015800,-1139420.92
299.5,293.390015,298.920013,3905400,3163964.06
303.209991,298.970001,302.140015,3833900,1898904.41
302.720001,300.589996,302.320007,2436500,1521398.50
305.380005,303.359985,305.299988,2650000,2440056.48
307.470001,302.579987,305.079987,2694000,60593.34
308.809998,304.98999,308.769989,5020200,4915041.49
311.5,308.23999,310.309998,4862300,1312527.62
311,307.070007,309.070007,2740300,48814.38
311.070007,307.850006,310.390015,2314500,1336959.01
313.220001,309.049988,312.51001,3131400,2065088.78
313.700012,310.329987,312.619995,2330900,836898.25
315.940002,311.769989,313.700012,3109500,-231136.54
316.920013,313.720001,314.549988,2662600,-1281403.06
318.809998,313.26001,318.049988,3323300,2413121.01
321.880005,318.119995,319.73999,2975400,-411506.22
323.980011,319,323.790009,3425500,3164114.29
325.720001,322.5,324.630005,3581200,1156670.52
324.549988,322.76001,323.089996,2406200,-1519024.50
324.369995,321.320007,323.820007,2428400,1552599.27
324.850006,321.609985,324.329987,2405700,1633476.79
326.399994,324.299988,326.049988,2261900,1507922.56
327.100006,324.109985,324.339996,2552200,-2159537.83
323.73999,319,320.529999,2718600,-963551.87
326.910004,322.109985,326.230011,2950000,2114178.58
328.809998,325.190002,328.549988,2909600,2491629.87
331.839996,328.570007,330.170013,2461300,-52671.24
330.25,322.76001,325.859985,3366500,-579829.83
328.070007,323.059998,323.220001,2653800,-2484292.93
325.98999,317.410004,320,3185600,-1262358.81
325.160004,322.619995,323.880005,3869500,-30451.64
330.690002,325.790009,326.140015,3302400,-2830619.81
326.880005,323.480011,324.869995,2283400,-416402.90
326.160004,320.149994,322.98999,2639800,-144955.09
322.959991,319.809998,322.640015,2548900,2031065.94
324.23999,320.540009,322.48999,1937300,104709.51
323.829987,320.130005,323.529999,2190000,1834877.34
324.690002,322.359985,323.75,2139500,413217.08
328.26001,324.820007,327.390015,3046800,1505696.25
329.980011,325.850006,329.76001,2805000,2506161.23
333.940002,329.119995,330.390015,4322900,-2044824.70
331.48999,328.350006,329.130005,2762500,-1390042.54
329.269989,322.970001,323.109985,4029300,-3850240.13
323,319.559998,320.200012,3071500,-1928591.94
320.559998,317.709991,319.019989,4245400,-342626.77
322.630005,319.670013,320.600006,3229400,-1200124.65
322.470001,319,322.190002,3231800,2710243.51
322.410004,319.390015,321.079987,6175000,736003.38
323.220001,319.529999,323.119995,3375300,3192346.03
330.670013,324.420013,329.480011,3962200,2453391.70
330.890015,327.570007,328.579987,3091800,-1210686.36
334.160004,328.679993,333.410004,3181400,2310580.58
335.820007,331.429993,335.420013,3727800,3048486.62
336.320007,334.100006,335.950012,2759300,1839546.18
337.589996,334.920013,335.290009,2619200,-1893282.63
335.350006,332.220001,333.600006,2873400,-339661.96
336.619995,332.200012,336.390015,2953000,2645699.75
340.380005,334.089996,335.899994,5164600,-2192294.02
341.679993,335.540009,339.820007,4095200,1614081.27
341.299988,337.660004,338.309998,8486200,-5455428.94
339.279999,336.619995,338.670013,3751700,2031037.57
341.350006,336.369995,338.609985,4507000,-452537.10
338.850006,335.660004,336.959991,3303300,-610983.78
337.470001,334.190002,335.25,4451700,-1574386.26
335.829987,331.839996,334.119995,3220900,460135.26
336.730011,334.369995,335.339996,2625600,-467280.20
336.399994,332.609985,334.149994,3175100,-594798.70
337.01001,334.140015,336.910004,2498900,2324749.88
342.5,338.399994,341,4520600,1212848.74
342.079987,338.410004,342,2047400,1958154.15
