High,Low,Volume,Emv
357.920013,353.670013,2863700,44.03
358.720001,353.380005,2196100,44.02
356.299988,351.880005,2847700,24.42
354.299988,351.25,2870600,5.14
354.179993,349.609985,2540000,-13.36
353.5,349.660004,2363300,-9.28
354.320007,351.540009,2239500,-5.34
357.230011,354.130005,2521100,14.43
357.350006,352.920013,2136800,-89.80
358.410004,354.529999,1728000,-87.07
358.589996,354.01001,2285600,-71.87
362.679993,358.600006,3058300,-14.06
362.470001,359.25,2842300,38.53
363.390015,360.600006,2637900,34.39
366.470001,360,2976800,75.75
362.799988,359.26001,2655800,50.32
363.299988,360.869995,3263800,77.66
364.829987,361.769989,3019100,96.44
366.609985,364.51001,2921600,119.35
370.429993,365.470001,2898400,152.22
370.839996,365.970001,3261400,145.11
370.220001,368.26001,3670100,124.14
370.200012,367.519989,11595000,131.58
371.329987,367.790009,3130900,115.82
373.339996,368.459991,2603700,136.20
371.339996,366.730011,2268400,67.77
367.200012,362.940002,3178600,28.03
363.420013,359.76001,3969400,-3.46
361.890015,357.269989,2556200,-48.66
360.790009,357.950012,3063900,-29.06
360.519989,354.269989,3535400,-59.61
359.470001,356.670013,2731700,-63.46
357.5,348.549988,4932900,-140.45
350,345.410004,3527600,-219.11
348.23999,342.130005,3151700,-258.86
344.01001,339.51001,3244600,-295.97
345.940002,342.369995,3027300,-275.17
348.76001,341.859985,3174700,-262.89
345.899994,342.829987,2762800,-288.33
349.51001,345.5,2858600,-229.80
349.600006,344.920013,2620800,-194.97
348.660004,343.019989,2677500,-193.41
348.440002,343.880005,2804800,-163.75
349.940002,345.829987,3117800,-146.11
348.410004,344.149994,2998600,-137.46
344.829987,339.959991,2977100,-187.80
342.690002,338.450012,2741300,-142.58
340,334.350006,3466100,-132.66
338.880005,333.48999,2794200,-111.41
339.850006,337.769989,2355700,-60.92
339.619995,336.549988,2623200,-87.16
338.320007,335.459991,2685400,-114.18
336.190002,330.579987,3608200,-145.60
338.359985,332.179993,2634700,-145.48
341.48999,337.5,3066900,-103.10
345.329987,340.579987,2789700,-39.65
349.390015,344.5,3433700,-2.78
354.350006,349.790009,4409100,18.84
354.029999,344.059998,5486200,-4.14
346.950012,344.299988,3062900,20.12
348,344.690002,2602400,46.82
350.109985,346.880005,3052100,102.60
351.200012,348.600006,3701100,123.29
350.649994,348.809998,2196200,105.72
355.950012,351.25,3387500,150.13
357.309998,354.480011,3572900,172.21
360,357.230011,2822500,230.20
360.559998,358.070007,3260000,202.44
362.609985,358.179993,3215300,173.80
363.029999,360.25,2918800,140.19
362.459991,360.049988,2110200,96.47
363.190002,361.23999,1282000,69.04
362.640015,359.579987,2580300,98.94
362.119995,359.209991,2953500,116.95
361.519989,358.299988,3141100,104.88
