Close,Hma
318.600006,0
315.839996,0
316.149994,0
310.570007,314.25
307.779999,311.14
305.820007,306.06
305.98999,305.25
306.390015,305.37
311.450012,307.22
312.329987,310.89
309.290009,313.36
301.910004,308.86
300,301.81
300.029999,297.86
302,299.72
307.820007,302.65
302.690002,306.65
306.48999,306.12
305.549988,303.99
303.429993,306.62
309.059998,304.41
308.899994,307.39
309.910004,310.97
314.549988,310.46
312.899994,313.84
318.690002,315.69
315.529999,316.65
316.350006,318.12
320.369995,315.83
318.929993,319.73
317.640015,320.29
314.859985,316.91
308.299988,313.8
305.230011,307.95
309.869995,304.33
310.420013,308.17
311.299988,312.02
311.899994,311.44
310.950012,311.93
309.170013,311.01
307.329987,308.84
311.519989,307.74
310.570007,310.05
311.859985,312.34
308.51001,310.77
308.429993,309.48
312.970001,308.08
308.480011,311.44
307.209991,310.53
309.890015,306.37
313.73999,309.66
310.790009,313.5
309.630005,312.37
308.179993,308.6
308.23999,308.04
302.720001,306.83
303.160004,303.73
303.070007,301.23
304.019989,303.39
304.660004,303.94
305.179993,304.96
304.619995,305.21
307.75,305.41
312.450012,307.83
316.970001,313.46
311.119995,316.81
311.369995,313.64
304.820007,308.29
303.630005,305.8
302.880005,301.52
305.329987,303.02
297.880005,303.43
302.01001,300.63
293.51001,297.42
301.059998,297.56
303.850006,297.43
299.730011,305.22
298.369995,301.12
298.920013,297.32
302.140015,298.91
302.320007,301.82
305.299988,303.86
305.079987,304.83
308.769989,306.72
310.309998,308.34
309.070007,311.08
310.390015,310.01
312.51001,310.11
312.619995,312.62
313.700012,313.49
314.549988,313.7
318.049988,315.35
319.73999,318.03
323.790009,321.3
324.630005,323.82
323.089996,325.58
323.820007,323.75
324.329987,323.27
326.049988,324.77
324.339996,325.65
320.529999,324.56
326.230011,321.55
328.549988,324.4
330.170013,330.33
325.859985,329.95
323.220001,326.68
320,321.69
323.880005,320.3
326.140015,322.54
324.869995,326.85
322.98999,325.52
322.640015,322.82
322.48999,322.05
323.529999,322.57
323.75,323.34
327.390015,324.67
329.76001,327.25
330.390015,330.68
329.130005,330.87
323.109985,328.55
320.200012,323.21
319.019989,318.48
320.600006,318.51
322.190002,320.21
321.079987,322.27
323.119995,322.13
329.480011,323.47
328.579987,328.95
333.410004,331.65
335.420013,332.64
335.950012,336.78
335.290009,336.42
333.600006,335.3
336.390015,334.13
335.899994,335.28
339.820007,337.57
338.309998,338.75
338.670013,339.93
338.609985,338.1
336.959991,338.46
335.25,336.93
334.119995,334.8
335.339996,333.94
334.149994,334.56
336.910004,335.21
341,336.74
342,341.41
341.559998,343.12
341.459991,341.95
340.899994,341.24
341.130005,341
343.369995,341.28
345.350006,343.4
343.540009,345.47
341.089996,344.09
344.25,341.42
345.339996,343.09
342.429993,345.73
346.609985,343.97
345.76001,344.8
349.630005,347.94
347.579987,348.36
349.799988,349.58
349.309998,348.66
349.809998,350.21
351.959991,349.92
352.26001,351.82
351.190002,352.75
353.809998,351.91
349.98999,352.38
362.579987,353.6
363.730011,359.4
358.019989,366.78
356.980011,359.18
358.350006,355.48
358.480011,357.8
354.5,358.25
354.109985,355.14
353.190002,352.69
352.559998,353.11
352.089996,352.28
350.570007,351.7
354.26001,351.28
354.299988,353.15
355.929993,355.79
355.549988,355.61
358.290009,356.61
361.059998,358.17
360.200012,361.37
362.459991,361.64
360.470001,361.47
361.670013,361.75
361.799988,360.83
363.149994,362.4
365.519989,363.36
367.779999,365.95
367.820007,368.2
369.5,368.85
367.859985,368.96
370.429993,369.12
370.480011,369.46
366.820007,370.72
363.279999,366.86
360.160004,362.13
361.709991,359.76
359.420013,360.03
357.779999,360.05
357.059998,357.17
350.299988,355.51
348.079987,350.82
343.040009,345.36
343.690002,343.25
345.059998,342.13
346.339996,345.26
345.450012,346.43
348.559998,346.54
348.429993,347.72
345.660004,349.03
345.089996,345.98
346.230011,344.45
345.390015,345.71
340.890015,345.16
338.660004,340.99
335.859985,337.07
336.839996,335.75
338.630005,336.04
336.899994,338.37
336.160004,337.66
331.709991,334.96
337.410004,333.15
341.329987,335.63
343.75,342.98
349.019989,345.53
351.809998,349.41
346.630005,352.24
346.170013,348.35
346.299988,344.54
348.179993,346.44
350.559998,348.31
350.01001,350.7
354.25,351.6
356.790009,353.78
359.859985,358.29
358.929993,360.04
361.329987,360.51
361,360.56
361.799988,361.99
362.679993,361.7
361.339996,362.58
360.049988,361.64
358.690002,359.59
