High,Low,Close,K,D,J
322.630005,319.670013,320.600006,10.11,17.77,-5.22
322.470001,319,322.190002,17.83,13.3,26.88
322.410004,319.390015,321.079987,22.06,16.66,32.84
323.220001,319.529999,323.119995,27.23,22.37,36.95
330.670013,324.420013,329.480011,46.5,31.93,75.65
330.890015,327.570007,328.579987,67.07,46.94,107.35
334.160004,328.679993,333.410004,87.78,67.12,129.09
335.820007,331.429993,335.420013,91.9,82.25,111.2
336.320007,334.100006,335.950012,97.03,92.24,106.62
337.589996,334.920013,335.290009,94.43,94.45,94.38
335.350006,332.220001,333.600006,87.86,93.11,77.36
336.619995,332.200012,336.390015,86.35,89.55,79.97
340.380005,334.089996,335.899994,81.12,85.11,73.14
341.679993,335.540009,339.820007,84.03,83.84,84.43
341.299988,337.660004,338.309998,77.61,80.92,70.98
339.279999,336.619995,338.670013,77.18,79.61,72.32
341.350006,336.369995,338.609985,70.78,75.19,61.95
338.850006,335.660004,336.959991,62.82,70.26,47.95
337.470001,334.190002,335.25,50,61.2,27.6
335.829987,331.839996,334.119995,35.18,49.34,6.88
336.730011,334.369995,335.339996,30.3,38.5,13.92
336.399994,332.609985,334.149994,27.41,30.96,20.29
337.01001,334.140015,336.910004,37.45,31.72,48.92
342.5,338.399994,341,54.24,39.7,83.32
342.079987,338.410004,342,78.18,56.62,121.3
341.890015,338.700012,341.559998,90.81,74.41,123.6
341.799988,338.910004,341.459991,92.25,87.08,102.58
344.070007,340.390015,340.899994,85.17,89.41,76.69
343.480011,339.869995,341.130005,79.56,85.66,67.36
343.839996,340.929993,343.369995,80.77,81.83,78.65
346.440002,344.309998,345.350006,86.46,82.26,94.85
346.209991,343.450012,343.540009,82.99,83.41,82.15
345,340.51001,341.089996,62.81,77.42,33.6
345.720001,341.089996,344.25,56.34,67.38,34.25
347.25,343.540009,345.339996,60.73,59.96,62.26
345.380005,341.98999,342.429993,61.16,59.41,64.67
346.790009,342.850006,346.609985,67.7,63.2,76.72
347.619995,345.100006,345.76001,66.62,65.16,69.53
351.190002,346.279999,349.630005,83.52,72.61,105.33
349.660004,345.540009,347.579987,75.14,75.09,75.24
351.089996,347.519989,349.799988,79.53,79.4,79.78
351.269989,348.600006,349.309998,77.98,77.55,78.83
351,348.320007,349.809998,84,80.5,91
352.329987,350.209991,351.959991,87.15,83.04,95.35
353.420013,351.25,352.26001,89.9,87.02,95.68
352.890015,349.690002,351.190002,86.21,87.75,83.13
354.470001,349.420013,353.809998,84.94,87.02,80.79
355.109985,349.390015,349.98999,70.77,80.64,51.02
364.630005,355.149994,362.579987,75.71,77.14,72.85
364.25,358.850006,363.730011,76.33,74.27,80.46
364.429993,356.059998,358.019989,80.66,77.57,86.84
362.350006,355.920013,356.980011,67.92,74.97,53.82
359.25,353.200012,358.350006,56.02,68.2,31.67
358.950012,356.809998,358.480011,56.08,60.01,48.23
357.920013,353.670013,354.5,50.66,54.25,43.46
358.720001,353.380005,354.109985,41.38,49.37,25.4
356.299988,351.880005,353.190002,24.93,38.99,-3.2
354.299988,351.25,352.559998,17.06,27.79,-4.39
354.179993,349.609985,352.089996,12.32,18.1,0.75
353.5,349.660004,350.570007,11.4,13.59,7.02
354.320007,351.540009,354.26001,24.17,15.96,40.58
357.230011,354.130005,354.299988,35.33,23.63,58.72
357.350006,352.920013,355.929993,55.94,38.48,90.87
358.410004,354.529999,355.549988,61.6,50.96,82.88
358.589996,354.01001,358.290009,77.08,64.87,101.49
362.679993,358.600006,361.059998,83.16,73.94,101.58
362.470001,359.25,360.200012,88.43,82.89,99.51
363.390015,360.600006,362.459991,87.29,86.29,89.28
366.470001,360,360.470001,78.02,84.58,64.91
362.799988,359.26001,361.670013,72.54,79.28,59.05
363.299988,360.869995,361.799988,63.31,71.29,47.34
364.829987,361.769989,363.149994,67.82,67.89,67.69
366.609985,364.51001,365.519989,76.75,69.29,91.65
370.429993,365.470001,367.779999,80.77,75.11,92.08
370.839996,365.970001,367.820007,80.96,79.49,83.91
