Close,Volume,Vwma
318.600006,7919700,0
315.839996,4351600,0
316.149994,3025700,0
310.570007,3835800,0
307.779999,3877400,0
305.820007,4130800,0
305.98999,2351700,0
306.390015,3326000,0
311.450012,4366700,0
312.329987,5042800,0
309.290009,4056900,0
301.910004,5103900,0
300,8305700,0
300.029999,3842200,0
302,3090700,0
307.820007,3264600,0
302.690002,3560100,0
306.48999,2460400,0
305.549988,2730900,0
303.429993,2628200,307.83
309.059998,2846200,306.76
308.899994,3298300,306.32
309.910004,3549900,306.1
314.549988,5121200,306.44
312.899994,3416300,306.66
318.690002,3647900,307.28
315.529999,4397400,307.79
316.350006,3049100,308.18
320.369995,2999500,308.47
318.929993,3070300,308.64
317.640015,2773000,308.95
314.859985,3478900,309.74
308.299988,3406000,310.88
305.230011,3614600,311.2
309.869995,3770100,311.55
310.420013,3086700,311.68
311.299988,2234300,312.15
311.899994,2299800,312.36
310.950012,2856600,312.58
309.170013,3031200,312.79
307.329987,3474600,312.66
311.519989,3653400,312.79
310.570007,3518300,312.82
311.859985,4421400,312.62
308.51001,5385700,312.28
308.429993,2973100,311.77
312.970001,3786700,311.59
308.480011,3370000,311.22
307.209991,3461200,310.61
309.890015,2808000,310.2
313.73999,3261500,310.06
310.790009,2907100,309.85
309.630005,2410700,309.92
308.179993,2801700,310.1
308.23999,2720500,310.04
302.720001,4131100,309.56
303.160004,2899500,309.22
303.070007,2736400,308.87
304.019989,3656200,308.52
304.660004,3652200,308.29
305.179993,4736800,308.12
304.619995,3397200,307.77
307.75,3152100,307.63
312.450012,4493000,307.67
316.970001,4889800,308.27
311.119995,3609700,308.41
311.369995,2701600,308.27
304.820007,3929500,308.07
303.630005,5294800,307.77
302.880005,4993000,307.35
305.329987,5251500,306.93
297.880005,7162800,305.96
302.01001,6325700,305.55
293.51001,15609400,303.5
301.059998,6056000,303.22
303.850006,4724000,303.27
299.730011,3086300,303.17
298.369995,4015800,302.98
298.920013,3905400,302.78
302.140015,3833900,302.69
302.320007,2436500,302.56
305.299988,2650000,302.57
305.079987,2694000,302.47
308.769989,5020200,302.33
310.309998,4862300,302
309.070007,2740300,301.86
310.390015,2314500,301.8
312.51001,3131400,302.03
312.619995,2330900,302.2
313.700012,3109500,302.55
314.549988,2662600,302.75
318.049988,3323300,303.76
319.73999,2975400,304.48
323.790009,3425500,307.91
324.630005,3581200,309.42
323.089996,2406200,310.34
323.820007,2428400,311.37
324.329987,2405700,312.7
326.049988,2261900,314.09
324.339996,2552200,315.3
320.529999,2718600,316.07
326.230011,2950000,317.05
328.549988,2909600,318.14
330.170013,2461300,319.48
325.859985,3366500,320.65
323.220001,2653800,321.34
320,3185600,321.71
323.880005,3869500,322.36
326.140015,3302400,322.96
324.869995,2283400,323.54
322.98999,2639800,323.93
322.640015,2548900,324.21
322.48999,1937300,324.39
323.529999,2190000,324.39
323.75,2139500,324.35
327.390015,3046800,324.58
329.76001,2805000,324.88
330.390015,4322900,325.33
329.130005,2762500,325.49
323.109985,4029300,325.37
320.200012,3071500,325.32
319.019989,4245400,324.83
320.600006,3229400,324.42
322.190002,3231800,324.07
321.079987,6175000,323.69
323.119995,3375300,323.68
329.480011,3962200,324.21
328.579987,3091800,324.44
333.410004,3181400,324.8
335.420013,3727800,325.4
335.950012,2759300,325.94
335.290009,2619200,326.44
333.600006,2873400,326.86
336.390015,2953000,327.38
335.899994,5164600,328.11
339.820007,4095200,328.81
338.309998,8486200,329.82
338.670013,3751700,330.22
338.609985,4507000,330.74
336.959991,3303300,331.4
335.25,4451700,332.05
334.119995,3220900,332.84
335.339996,2625600,333.44
334.149994,3175100,333.94
336.910004,2498900,335.11
341,4520600,336.01
342,2047400,336.53
341.559998,2870700,337.07
341.459991,2548300,337.38
340.899994,2940800,337.63
341.130005,2966500,337.84
343.369995,2754900,338.14
345.350006,2897100,338.62
343.540009,2831800,338.9
341.089996,2669300,339.21
344.25,2359500,339.35
345.339996,2565300,339.75
342.429993,3032100,339.95
346.609985,3146000,340.4
345.76001,3301900,340.89
349.630005,3269400,341.81
347.579987,3014000,342.54
349.799988,2682900,343.2
349.309998,2706700,343.98
349.809998,2473300,344.54
351.959991,2621600,345.18
352.26001,2293300,345.58
351.190002,3085900,346.1
353.809998,2942000,346.71
349.98999,2842000,347.18
362.579987,5379900,348.89
363.730011,3428800,350
358.019989,4424600,350.8
356.980011,3098800,351.45
358.350006,2475200,352.18
358.480011,1990700,352.69
354.5,2863700,353.09
354.109985,2196100,353.66
353.190002,2847700,354.01
352.559998,2870600,354.4
352.089996,2540000,354.56
350.570007,2363300,354.76
354.26001,2239500,354.97
354.299988,2521100,355.21
355.929993,2136800,355.47
355.549988,1728000,355.64
358.290009,2285600,355.88
361.059998,3058300,356.42
360.200012,2842300,356.75
362.459991,2637900,357.36
360.470001,2976800,357.01
361.670013,2655800,356.81
361.799988,3263800,357.02
363.149994,3019100,357.38
365.519989,2921600,357.79
367.779999,2898400,358.31
367.820007,3261400,359.1
369.5,3670100,360
367.859985,11595000,361.74
370.429993,3130900,362.58
370.480011,2603700,363.32
366.820007,2268400,363.92
363.279999,3178600,364.22
360.160004,3969400,364.36
361.709991,2556200,364.52
359.420013,3063900,364.52
357.779999,3535400,364.38
357.059998,2731700,364.24
350.299988,4932900,363.43
348.079987,3527600,362.71
343.040009,3151700,361.94
343.690002,3244600,361.14
345.059998,3027300,360.43
346.339996,3174700,359.7
345.450012,2762800,358.92
348.559998,2858600,358.16
348.429993,2620800,357.36
345.660004,2677500,356.29
345.089996,2804800,353.61
346.230011,3117800,352.38
345.390015,2998600,351.29
340.890015,2977100,350.24
338.660004,2741300,349.07
335.859985,3466100,347.62
336.839996,2794200,346.55
338.630005,2355700,345.61
336.899994,2623200,344.52
336.160004,2685400,343.59
331.709991,3608200,342.3
337.410004,2634700,341.73
341.329987,3066900,341.64
343.75,2789700,341.63
349.019989,3433700,341.88
351.809998,4409100,342.38
346.630005,5486200,342.62
346.170013,3062900,342.52
346.299988,2602400,342.43
348.179993,3052100,342.57
350.559998,3701100,342.93
350.01001,2196200,343.01
354.25,3387500,343.5
356.790009,3572900,344.37
359.859985,2822500,345.3
358.929993,3260000,346.52
361.329987,3215300,347.68
361,2918800,348.62
361.799988,2110200,349.53
362.679993,1282000,350.37
361.339996,2580300,351.93
360.049988,2953500,352.93
358.690002,3141100,353.8
