Close,Upper,Middle,Lower
367.779999,429.57,357.97,286.38
367.820007,430.37,358.64,286.91
369.5,431.29,359.41,287.53
367.859985,432.17,360.14,288.11
370.429993,433.24,361.04,288.83
370.480011,434.35,361.95,289.56
366.820007,435.32,362.77,290.21
363.279999,435.86,363.22,290.57
360.160004,436.21,363.51,290.81
361.709991,436.56,363.8,291.04
359.420013,436.79,363.99,291.2
357.779999,436.76,363.97,291.17
357.059998,436.52,363.77,291.01
350.299988,435.93,363.27,290.62
348.079987,435.07,362.55,290.04
343.040009,434.02,361.68,289.35
343.690002,432.94,360.78,288.63
345.059998,431.94,359.95,287.96
346.339996,430.93,359.11,287.29
345.450012,429.72,358.1,286.48
348.559998,428.57,357.14,285.71
348.429993,427.41,356.17,284.94
345.660004,425.98,354.98,283.98
345.089996,424.61,353.84,283.07
346.230011,423.16,352.63,282.11
345.390015,421.65,351.38,281.1
340.890015,420.1,350.08,280.06
338.660004,418.62,348.85,279.08
335.859985,417.16,347.64,278.11
336.839996,415.67,346.39,277.11
338.630005,414.42,345.35,276.28
336.899994,413.17,344.31,275.45
336.160004,411.92,343.26,274.61
331.709991,410.8,342.33,273.87
337.410004,410.16,341.8,273.44
341.329987,410.06,341.71,273.37
343.75,410.06,341.72,273.37
349.019989,410.3,341.92,273.53
351.809998,410.63,342.19,273.75
346.630005,410.7,342.25,273.8
346.170013,410.55,342.13,273.7
346.299988,410.43,342.02,273.62
348.179993,410.58,342.15,273.72
350.559998,410.91,342.42,273.94
350.01001,411.13,342.61,274.09
354.25,411.66,343.05,274.44
356.790009,412.62,343.85,275.08
359.859985,413.89,344.91,275.93
358.929993,415.27,346.06,276.85
361.329987,416.74,347.29,277.83
361,418.09,348.4,278.72
361.799988,419.58,349.65,279.72
362.679993,421.17,350.98,280.78
361.339996,422.95,352.46,281.97
360.049988,424.31,353.59,282.87
358.690002,425.35,354.46,283.57
