Close,Upper,Middle,Lower
367.779999,431.34,359.45,287.56
367.820007,432.3,360.25,288.2
369.5,433.36,361.13,288.9
367.859985,434.12,361.77,289.42
370.429993,435.11,362.6,290.08
370.480011,436.02,363.35,290.68
366.820007,436.41,363.68,290.94
363.279999,436.37,363.64,290.91
360.160004,435.97,363.31,290.65
361.709991,435.79,363.16,290.52
359.420013,435.36,362.8,290.24
357.779999,434.79,362.32,289.86
357.059998,434.18,361.82,289.46
350.299988,432.87,360.72,288.58
348.079987,431.42,359.52,287.62
343.040009,429.54,357.95,286.36
343.690002,427.91,356.59,285.27
345.059998,426.59,355.49,284.39
346.339996,425.55,354.62,283.7
345.450012,424.5,353.75,283
348.559998,423.9,353.25,282.6
348.429993,423.35,352.79,282.24
345.660004,422.54,352.12,281.69
345.089996,421.74,351.45,281.16
346.230011,421.14,350.95,280.76
345.390015,420.5,350.42,280.34
340.890015,419.41,349.51,279.61
338.660004,418.17,348.48,278.78
335.859985,416.73,347.28,277.82
336.839996,415.54,346.28,277.03
338.630005,414.66,345.55,276.44
336.899994,413.68,344.73,275.78
336.160004,412.7,343.91,275.13
331.709991,411.3,342.75,274.2
337.410004,410.69,342.24,273.79
341.329987,410.59,342.16,273.72
343.75,410.77,342.31,273.85
349.019989,411.54,342.95,274.36
351.809998,412.55,343.79,275.03
346.630005,412.87,344.06,275.25
346.170013,413.11,344.26,275.41
346.299988,413.35,344.46,275.57
348.179993,413.77,344.81,275.85
350.559998,414.43,345.36,276.29
350.01001,414.96,345.8,276.64
354.25,415.93,346.61,277.28
356.790009,417.09,347.58,278.06
359.859985,418.5,348.75,279
358.929993,419.66,349.72,279.77
361.329987,420.99,350.82,280.66
361,422.15,351.79,281.43
361.799988,423.29,352.74,282.2
362.679993,424.43,353.69,282.95
361.339996,425.3,354.42,283.54
360.049988,425.95,354.96,283.96
358.690002,426.37,355.31,284.25
