Close,Slope
318.600006,0.00000000
315.839996,0.00000000
316.149994,0.00000000
310.570007,0.00000000
307.779999,0.00000000
305.820007,0.00000000
305.989990,0.00000000
306.390015,0.00000000
311.450012,0.00000000
312.329987,0.00000000
309.290009,0.00000000
301.910004,0.00000000
300.000000,0.00000000
300.029999,0.00000000
302.000000,-1.18571471
307.820007,-0.57285636
302.690002,-0.96142800
306.489990,-0.29142979
305.549988,-0.15928650
303.429993,-0.17071529
309.059998,0.21928629
308.899994,0.17928421
309.910004,-0.11000057
314.549988,0.15857150
312.899994,0.25785607
318.690002,1.19857129
315.529999,1.10928564
316.350006,1.16571479
320.369995,1.31214250
318.929993,0.79357043
317.640015,1.06785807
314.859985,0.59785679
308.299988,0.19642857
305.230011,0.12857271
309.869995,0.05785693
310.420013,0.10857279
311.299988,0.09928457
311.899994,-0.18928529
310.950012,-0.13928443
309.170013,-0.67999921
307.329987,-0.58571514
311.519989,-0.34500121
310.570007,-0.69999914
311.859985,-0.50500057
308.510010,-0.65214321
308.429993,-0.45928514
312.970001,0.33357236
308.480011,0.23214286
307.209991,-0.19000029
309.890015,-0.03785700
313.739990,0.17428586
310.790009,-0.07928464
309.630005,-0.09428621
308.179993,-0.07071571
308.239990,0.06500021
302.720001,-0.62857057
303.160004,-0.52928593
303.070007,-0.62785557
304.019989,-0.32071579
304.660004,-0.26928493
305.179993,-0.55642914
304.619995,-0.27571543
307.750000,0.03857207
312.450012,0.18285693
316.970001,0.23071507
311.119995,0.02357043
311.369995,0.12428500
304.820007,-0.23999900
303.630005,-0.32928464
302.880005,0.01142886
305.329987,0.15499879
297.880005,-0.37071443
302.010010,-0.14356993
293.510010,-0.79642814
301.059998,-0.29428536
303.850006,-0.05499921
299.730011,-0.57285636
298.369995,-1.00571550
298.920013,-1.28928486
302.140015,-0.64142714
302.320007,-0.64642771
305.299988,0.03428436
305.079987,0.10357014
308.769989,0.42071314
310.309998,0.35571507
309.070007,0.79928586
310.390015,0.59857179
312.510010,1.35714286
312.619995,0.82571407
313.700012,0.70357186
314.549988,1.05856979
318.049988,1.40571379
319.739990,1.48714121
323.790009,1.54642814
324.630005,1.59357129
323.089996,1.27071486
323.820007,1.33857286
324.329987,1.11142843
326.049988,1.12428500
324.339996,1.09071350
320.529999,0.72428457
326.230011,0.98000007
328.549988,1.13785664
330.170013,1.17642864
325.859985,0.80785693
323.220001,0.36928664
320.000000,0.01857214
323.880005,0.00642829
326.140015,0.10785786
324.869995,0.12714279
322.989990,-0.05928693
322.640015,-0.12071229
322.489990,-0.25428557
323.529999,-0.05785693
323.750000,0.23000007
327.390015,0.08285743
329.760010,0.08643014
330.390015,0.01571443
329.130005,0.23357286
323.109985,-0.00785829
320.200012,0.01428657
319.019989,-0.34714400
320.600006,-0.39571493
322.190002,-0.19142807
321.079987,-0.13642879
323.119995,0.03428429
329.480011,0.49928721
328.579987,0.36071343
333.410004,0.69000029
335.420013,0.57357129
335.950012,0.44214300
335.290009,0.34999957
333.600006,0.31928579
336.390015,0.94857357
335.899994,1.12142729
339.820007,1.48571557
338.309998,1.26499943
338.670013,1.17714364
338.609985,1.25214271
336.959991,0.98857114
335.250000,0.41214207
334.119995,0.39571486
335.339996,0.13785657
334.149994,-0.09071564
336.910004,0.06857086
341.000000,0.40785650
342.000000,0.59999957
341.559998,0.36928450
341.459991,0.39714264
340.899994,0.07714193
341.130005,0.20142907
343.369995,0.33571300
345.350006,0.48143007
343.540009,0.47000129
341.089996,0.41714257
344.250000,0.72357179
345.339996,0.71428571
342.429993,0.59142850
346.609985,0.69285579
345.760010,0.34000071
349.630005,0.54500036
347.579987,0.42999921
349.799988,0.59571407
349.309998,0.60071457
349.809998,0.61999950
351.959991,0.61357114
352.260010,0.49357171
351.190002,0.54642807
353.809998,0.90857157
349.989990,0.40999929
362.579987,1.23142793
363.730011,1.52142986
358.019989,0.81500029
356.980011,0.80142864
358.350006,0.62285721
358.480011,0.77857314
354.500000,0.33571514
354.109985,0.34285621
353.190002,0.24142886
352.559998,0.04285764
352.089996,-0.01214386
350.570007,-0.04428536
354.260010,0.03214371
354.299988,0.30785700
355.929993,-0.47499957
355.549988,-0.58428736
358.290009,0.01928714
361.059998,0.29142764
360.200012,0.13214329
362.459991,0.28428429
360.470001,0.42642864
361.670013,0.54000200
361.799988,0.61499900
363.149994,0.75642829
365.519989,0.95928521
367.779999,1.22928514
367.820007,0.96857121
369.500000,1.08571514
367.859985,0.85214229
370.429993,1.06285750
370.480011,0.87071443
366.820007,0.41142921
363.279999,0.21999907
360.160004,-0.16428479
361.709991,0.08857071
359.420013,-0.16071429
357.779999,-0.28714207
357.059998,-0.43499971
350.299988,-1.08714293
348.079987,-1.40714371
343.040009,-1.76999986
343.690002,-1.84357129
345.059998,-1.62857050
346.339996,-1.72071407
345.450012,-1.78785707
348.559998,-1.30428636
348.429993,-1.06071471
345.660004,-1.03571429
345.089996,-1.18714250
346.230011,-0.94214300
345.390015,-0.88499886
340.890015,-1.15499879
338.660004,-0.83142743
335.859985,-0.87285729
336.839996,-0.44285807
338.630005,-0.36142836
336.899994,-0.58285743
336.160004,-0.72714229
331.709991,-0.98143007
337.410004,-0.79642814
341.329987,-0.50714329
343.750000,-0.13642886
349.019989,0.28071379
351.809998,0.39857050
346.630005,0.08857071
346.170013,0.37714271
346.299988,0.54571314
348.179993,0.88000057
350.559998,0.98000014
350.010010,0.81285750
354.250000,1.23928614
356.790009,1.47357179
359.859985,2.01071386
358.929993,1.53714207
361.329987,1.42857143
361.000000,1.23214286
361.799988,0.91285707
362.679993,0.77642821
361.339996,1.05071364
360.049988,0.99142679
358.690002,0.88500100
