Close,Trima
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,306.73
309.059998,306.08
308.899994,305.57
309.910004,305.28
314.549988,305.27
312.899994,305.46
318.690002,305.79
315.529999,306.23
316.350006,306.78
320.369995,307.47
318.929993,308.35
317.640015,309.39
314.859985,310.49
308.299988,311.51
305.230011,312.35
309.869995,313.04
310.420013,313.55
311.299988,313.92
311.899994,314.14
310.950012,314.18
309.170013,314
307.329987,313.58
311.519989,313.06
310.570007,312.5
311.859985,312.02
308.51001,311.6
308.429993,311.2
312.970001,310.89
308.480011,310.59
307.209991,310.29
309.890015,310.08
313.73999,310.02
310.790009,310.05
309.630005,310.1
308.179993,310.1
308.23999,310.03
302.720001,309.92
303.160004,309.75
303.070007,309.51
304.019989,309.27
304.660004,309.01
305.179993,308.68
304.619995,308.22
307.75,307.76
312.450012,307.35
316.970001,307.04
311.119995,306.82
311.369995,306.72
304.820007,306.73
303.630005,306.79
302.880005,306.85
305.329987,306.97
297.880005,307.1
302.01001,307.24
293.51001,307.22
301.059998,307.02
303.850006,306.67
299.730011,306.14
298.369995,305.48
298.920013,304.75
302.140015,304.03
302.320007,303.29
305.299988,302.62
305.079987,302.04
308.769989,301.65
310.309998,301.52
309.070007,301.58
310.390015,301.8
312.51001,302.25
312.619995,302.89
313.700012,303.68
314.549988,304.58
318.049988,305.63
319.73999,306.74
323.790009,307.97
324.630005,309.18
323.089996,310.44
323.820007,311.77
324.329987,313.11
326.049988,314.45
324.339996,315.75
320.529999,317.01
326.230011,318.23
328.549988,319.42
330.170013,320.53
325.859985,321.51
323.220001,322.36
320,323.06
323.880005,323.62
326.140015,324.08
324.869995,324.43
322.98999,324.7
322.640015,324.88
322.48999,324.93
323.529999,324.84
323.75,324.67
327.390015,324.54
329.76001,324.48
330.390015,324.53
329.130005,324.6
323.109985,324.66
320.200012,324.68
319.019989,324.66
320.600006,324.64
322.190002,324.67
321.079987,324.74
323.119995,324.78
329.480011,324.79
328.579987,324.69
333.410004,324.57
335.420013,324.54
335.950012,324.66
335.290009,324.96
333.600006,325.41
336.390015,326
335.899994,326.74
339.820007,327.66
338.309998,328.7
338.670013,329.83
338.609985,331.02
336.959991,332.19
335.25,333.25
334.119995,334.14
335.339996,334.91
334.149994,335.54
336.910004,336.04
341,336.43
342,336.69
341.559998,336.9
341.459991,337.05
340.899994,337.18
341.130005,337.36
343.369995,337.62
345.350006,337.99
343.540009,338.42
341.089996,338.91
344.25,339.43
345.339996,339.96
342.429993,340.47
346.609985,341
345.76001,341.54
349.630005,342.13
347.579987,342.71
349.799988,343.23
349.309998,343.73
349.809998,344.21
351.959991,344.73
352.26001,345.28
351.190002,345.88
353.809998,346.53
349.98999,347.18
362.579987,347.9
363.730011,348.69
358.019989,349.52
356.980011,350.38
358.350006,351.26
358.480011,352.12
354.5,352.94
354.109985,353.71
353.190002,354.4
352.559998,355.05
352.089996,355.57
350.570007,355.85
354.26001,355.94
354.299988,355.94
355.929993,355.85
355.549988,355.65
358.290009,355.43
361.059998,355.25
360.200012,355.1
362.459991,355.06
360.470001,355.06
361.670013,355.26
361.799988,355.65
363.149994,356.16
365.519989,356.77
367.779999,357.52
367.820007,358.38
369.5,359.29
367.859985,360.2
370.429993,361.12
370.480011,362.04
366.820007,362.93
363.279999,363.74
360.160004,364.44
361.709991,365.04
359.420013,365.47
357.779999,365.7
357.059998,365.72
350.299988,365.52
348.079987,365.03
343.040009,364.23
343.690002,363.13
345.059998,361.81
346.339996,360.35
345.450012,358.78
348.559998,357.14
348.429993,355.49
345.660004,353.82
345.089996,352.23
346.230011,350.77
345.390015,349.55
340.890015,348.54
338.660004,347.69
335.859985,346.91
336.839996,346.17
338.630005,345.49
336.899994,344.81
336.160004,344.12
331.709991,343.42
337.410004,342.68
341.329987,341.93
343.75,341.18
349.019989,340.55
351.809998,340.12
346.630005,339.87
346.170013,339.77
346.299988,339.85
348.179993,340.15
350.559998,340.7
350.01001,341.48
354.25,342.47
356.790009,343.61
359.859985,344.82
358.929993,346
361.329987,347.17
361,348.39
361.799988,349.68
362.679993,351.01
361.339996,352.34
360.049988,353.58
358.690002,354.75
