Close,Smma
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,311.54
306.390015,355.16
311.450012,399.51
312.329987,443.99
309.290009,488.03
301.910004,531.02
300,573.73
300.029999,616.45
302,659.45
307.820007,703.28
302.690002,746.38
306.48999,790.02
305.549988,833.53
303.429993,876.73
309.059998,920.74
308.899994,964.73
309.910004,1008.86
314.549988,1053.65
312.899994,1098.21
318.690002,1143.59
315.529999,1188.52
316.350006,1233.57
320.369995,1279.2
318.929993,1324.62
317.640015,1369.85
314.859985,1414.69
308.299988,1458.59
305.230011,1502.05
309.869995,1546.17
310.420013,1590.38
311.299988,1634.71
311.899994,1679.12
310.950012,1723.4
309.170013,1767.42
307.329987,1811.18
311.519989,1855.54
310.570007,1899.77
311.859985,1944.18
308.51001,1988.11
308.429993,2032.03
312.970001,2076.59
308.480011,2120.52
307.209991,2164.26
309.890015,2208.39
313.73999,2253.07
310.790009,2297.32
309.630005,2341.41
308.179993,2385.3
308.23999,2429.19
302.720001,2472.29
303.160004,2515.46
303.070007,2558.61
304.019989,2601.9
304.660004,2645.28
305.179993,2688.73
304.619995,2732.11
307.75,2775.93
312.450012,2820.42
316.970001,2865.56
311.119995,2909.86
311.369995,2954.2
304.820007,2997.6
303.630005,3040.84
302.880005,3083.96
305.329987,3127.44
297.880005,3169.85
302.01001,3212.85
293.51001,3254.64
301.059998,3297.5
303.850006,3340.77
299.730011,3383.44
298.369995,3425.92
298.920013,3468.48
302.140015,3511.5
302.320007,3554.55
305.299988,3598.02
305.079987,3641.46
308.769989,3685.43
310.309998,3729.62
309.070007,3773.63
310.390015,3817.82
312.51001,3862.33
312.619995,3906.84
313.700012,3951.51
314.549988,3996.31
318.049988,4041.6
319.73999,4087.13
323.790009,4133.25
324.630005,4179.48
323.089996,4225.49
323.820007,4271.61
324.329987,4317.8
326.049988,4364.24
324.339996,4410.43
320.529999,4456.07
326.230011,4502.54
328.549988,4549.33
330.170013,4596.35
325.859985,4642.76
323.220001,4688.79
320,4734.36
323.880005,4780.49
326.140015,4826.94
324.869995,4873.21
322.98999,4919.2
322.640015,4965.15
322.48999,5011.08
323.529999,5057.16
323.75,5103.26
327.390015,5149.89
329.76001,5196.86
330.390015,5243.91
329.130005,5290.79
323.109985,5336.8
320.200012,5382.4
319.019989,5427.83
320.600006,5473.49
322.190002,5519.38
321.079987,5565.1
323.119995,5611.12
329.480011,5658.04
328.579987,5704.84
333.410004,5752.33
335.420013,5800.1
335.950012,5847.95
335.290009,5895.71
333.600006,5943.22
336.390015,5991.14
335.899994,6038.98
339.820007,6087.38
338.309998,6135.57
338.670013,6183.81
338.609985,6232.04
336.959991,6280.03
335.25,6327.78
334.119995,6375.37
335.339996,6423.13
334.149994,6470.73
336.910004,6518.71
341,6567.28
342,6616
341.559998,6664.65
341.459991,6713.29
340.899994,6761.84
341.130005,6810.43
343.369995,6859.34
345.350006,6908.54
343.540009,6957.47
341.089996,7006.06
344.25,7055.09
345.339996,7104.28
342.429993,7153.06
346.609985,7202.43
345.76001,7251.68
349.630005,7301.49
347.579987,7351
349.799988,7400.83
349.309998,7450.59
349.809998,7500.42
351.959991,7550.55
352.26001,7600.73
351.190002,7650.76
353.809998,7701.16
349.98999,7751.02
362.579987,7802.67
363.730011,7854.49
358.019989,7905.49
356.980011,7956.35
358.350006,8007.4
358.480011,8058.47
354.5,8108.97
354.109985,8159.41
353.190002,8209.72
352.559998,8259.95
352.089996,8310.1
350.570007,8360.04
354.26001,8410.51
354.299988,8460.98
355.929993,8511.68
355.549988,8562.33
358.290009,8613.37
361.059998,8664.81
360.200012,8716.12
362.459991,8767.76
360.470001,8819.11
361.670013,8870.64
361.799988,8922.18
363.149994,8973.92
365.519989,9025.99
367.779999,9078.39
367.820007,9130.79
369.5,9183.43
367.859985,9235.84
370.429993,9288.62
370.480011,9341.4
366.820007,9393.66
363.279999,9445.42
360.160004,9496.72
361.709991,9548.25
359.420013,9599.46
357.779999,9650.43
357.059998,9701.29
350.299988,9751.19
348.079987,9800.77
343.040009,9849.64
343.690002,9898.59
345.059998,9947.74
346.339996,9997.08
345.450012,10046.29
348.559998,10095.94
348.429993,10145.57
345.660004,10194.81
345.089996,10243.96
346.230011,10293.28
345.390015,10342.48
340.890015,10391.04
338.660004,10439.27
335.859985,10487.11
336.839996,10535.09
338.630005,10583.32
336.899994,10631.31
336.160004,10679.19
331.709991,10726.43
337.410004,10774.49
341.329987,10823.11
343.75,10872.07
349.019989,10921.79
351.809998,10971.9
346.630005,11021.28
346.170013,11070.59
346.299988,11119.92
348.179993,11169.52
350.559998,11219.45
350.01001,11269.31
354.25,11319.78
356.790009,11370.6
359.859985,11421.87
358.929993,11473
361.329987,11524.48
361,11575.91
361.799988,11627.45
362.679993,11679.12
361.339996,11730.59
360.049988,11781.89
358.690002,11832.99
