Open,High,Low,Close,Bop
315.130005,318.600006,308.700012,318.600006,0
319,319.559998,313.299988,315.839996,-1
313.48999,316.380005,312.75,316.149994,1
315.220001,315.660004,308.730011,310.570007,-1
309.950012,310.290009,306.350006,307.779999,-1
307.070007,309.380005,304.920013,305.820007,0
306,307.48999,305.089996,305.98999,0
305.320007,308.339996,304.709991,306.390015,0
307.549988,311.910004,305.459991,311.450012,1
318.399994,318.910004,310.820007,312.329987,-1
312.73999,316.359985,308.399994,309.290009,0
306.429993,306.959991,299.450012,301.910004,-1
299.049988,302.470001,297.76001,300,0
300.51001,301.480011,297.149994,300.029999,0
300.089996,304.190002,297,302,0
304.380005,308.540009,304.160004,307.820007,1
306.100006,306.5,297.640015,302.690002,0
302.880005,306.570007,300.929993,306.48999,1
306.450012,308.579987,304.649994,305.549988,0
304.769989,307.459991,303.26001,303.429993,0
305.940002,309.380005,305.23999,309.059998,1
306.950012,309.040009,305.619995,308.899994,1
310.070007,312.390015,307.380005,309.910004,0
312,316.890015,311.25,314.549988,0
313.570007,314.230011,310,312.899994,0
315,320.160004,313.380005,318.690002,1
319.019989,320.5,314.75,315.529999,-1
315,316.799988,313.339996,316.350006,0
318.519989,320.570007,316.600006,320.369995,0
321.149994,321.320007,317.720001,318.929993,-1
317.48999,318.420013,315.790009,317.640015,0
318.399994,318.519989,314.25,314.859985,-1
315,315.540009,307.75,308.299988,-1
306.119995,307.23999,303.859985,305.230011,0
305.209991,310.01001,304.359985,309.869995,1
309.630005,312.730011,306.850006,310.420013,0
309.299988,312.829987,307.5,311.299988,0
308.329987,312.549988,307.709991,311.899994,1
312.98999,313.679993,309.579987,310.950012,0
309.790009,311.730011,308.339996,309.170013,0
307.600006,309.51001,306.809998,307.329987,0
307.73999,311.859985,305.790009,311.519989,1
309.630005,312.670013,306.380005,310.570007,0
312.350006,312.600006,308.299988,311.859985,0
311,311.549988,305.920013,308.51001,0
308.25,308.799988,305.600006,308.429993,0
307.299988,314.149994,306.630005,312.970001,1
311.119995,313.410004,308.01001,308.480011,0
310.170013,311.420013,306.98999,307.209991,-1
307.079987,309.980011,305.279999,309.890015,1
310.299988,313.73999,309.619995,313.73999,1
313.779999,314.100006,309.040009,310.790009,-1
309.980011,310.369995,308.279999,309.630005,0
307.579987,310.200012,306.869995,308.179993,0
307.149994,308.410004,305.480011,308.23999,0
306.170013,307.299988,300.5,302.720001,-1
303.200012,305.269989,301.769989,303.160004,0
305.01001,305.559998,300.25,303.070007,0
300.399994,305.619995,300.01001,304.019989,1
304.369995,305.779999,302.01001,304.660004,0
304.890015,306.149994,303.410004,305.179993,0
304.019989,305.619995,302.079987,304.619995,0
303.660004,308.100006,301.450012,307.75,1
309.559998,312.660004,308.5,312.450012,1
312.820007,317.290009,312.429993,316.970001,1
316.390015,316.5,310.230011,311.119995,-1
310.720001,312.679993,309.25,311.369995,0
311,313.179993,303.940002,304.820007,-1
302.950012,306.720001,301.920013,303.630005,0
301.75,306.589996,300.76001,302.880005,0
306.920013,307.549988,301.679993,305.329987,0
300.019989,300.549988,294.899994,297.880005,0
296.369995,304.429993,295.359985,302.01001,1
301.299988,301.299988,292.420013,293.51001,-1
295.570007,301.51001,295.059998,301.059998,1
304.559998,305.630005,302.25,303.850006,0
303.720001,307.049988,299.649994,299.730011,-1
301.390015,302.079987,296.299988,298.369995,-1
294.679993,299.5,293.390015,298.920013,1
300.880005,303.209991,298.970001,302.140015,0
301.929993,302.720001,300.589996,302.320007,0
304.799988,305.380005,303.359985,305.299988,0
307.089996,307.470001,302.579987,305.079987,0
305.899994,308.809998,304.98999,308.769989,1
309.25,311.5,308.23999,310.309998,0
310.76001,311,307.070007,309.070007,0
307.850006,311.070007,307.850006,310.390015,1
309.820007,313.220001,309.049988,312.51001,1
311.410004,313.700012,310.329987,312.619995,0
312.559998,315.940002,311.769989,313.700012,0
315.970001,316.920013,313.720001,314.549988,0
315.269989,318.809998,313.26001,318.049988,1
318.890015,321.880005,318.119995,319.73999,0
320.200012,323.980011,319,323.790009,1
324.950012,325.720001,322.5,324.630005,0
323.850006,324.549988,322.76001,323.089996,0
322.200012,324.369995,321.320007,323.820007,1
322.359985,324.850006,321.609985,324.329987,1
324.429993,326.399994,324.299988,326.049988,1
325.98999,327.100006,324.109985,324.339996,-1
323.309998,323.73999,319,320.529999,-1
322.859985,326.910004,322.109985,326.230011,1
325.440002,328.809998,325.190002,328.549988,1
329.160004,331.839996,328.570007,330.170013,0
330.149994,330.25,322.76001,325.859985,-1
327.130005,328.070007,323.059998,323.220001,-1
323.440002,325.98999,317.410004,320,0
323.359985,325.160004,322.619995,323.880005,0
328.26001,330.690002,325.790009,326.140015,0
324.869995,326.880005,323.480011,324.869995,0
326.079987,326.160004,320.149994,322.98999,-1
321,322.959991,319.809998,322.640015,1
323.820007,324.23999,320.540009,322.48999,0
322.890015,323.829987,320.130005,323.529999,0
322.459991,324.690002,322.359985,323.75,1
325.019989,328.26001,324.820007,327.390015,1
326.869995,329.980011,325.850006,329.76001,1
331,333.940002,329.119995,330.390015,0
330.75,331.48999,328.350006,329.130005,-1
328.190002,329.269989,322.970001,323.109985,-1
322.709991,323,319.559998,320.200012,-1
320.559998,320.559998,317.709991,319.019989,-1
320.440002,322.630005,319.670013,320.600006,0
321.859985,322.470001,319,322.190002,0
321.119995,322.410004,319.390015,321.079987,0
321.420013,323.220001,319.529999,323.119995,0
325.160004,330.670013,324.420013,329.480011,1
330.890015,330.890015,327.570007,328.579987,-1
329.040009,334.160004,328.679993,333.410004,1
