Close,Expected
318.600006,318.600006
315.839996,318.395881
316.149994,318.230853
310.570007,317.627627
307.779999,316.829788
305.820007,315.923866
305.989990,315.117575
306.390015,314.420055
311.450012,314.199700
312.329987,314.062923
309.290009,313.700464
301.910004,312.718821
300.000000,311.646191
300.029999,310.680309
302.000000,309.985870
307.820007,309.826765
302.690002,309.267192
306.489990,309.061532
305.549988,308.798977
303.429993,308.387606
309.059998,308.435217
308.899994,308.468216
309.910004,308.569298
314.549988,308.964915
312.899994,309.232118
318.690002,309.830985
315.529999,310.209435
316.350006,310.614971
320.369995,311.230690
318.929993,311.729427
317.640015,312.121054
314.859985,312.309973
308.299988,312.008350
305.230011,311.479721
309.869995,311.362333
310.420013,311.294203
311.299988,311.294616
311.899994,311.337523
310.950012,311.309705
309.170013,311.152595
307.329987,310.865711
311.519989,310.912054
310.570007,310.887514
311.859985,310.956114
308.510010,310.775785
308.429993,310.603072
312.970001,310.767082
308.480011,310.598821
307.209991,310.345903
309.890015,310.313148
313.739990,310.547402
310.790009,310.564677
309.630005,310.497105
308.179993,310.326563
308.239990,310.173445
302.720001,309.586655
303.160004,309.087428
303.070007,308.622446
304.019989,308.273335
304.660004,308.002776
305.179993,307.793585
304.619995,307.557305
307.750000,307.571034
312.450012,307.898270
316.970001,308.475194
311.119995,308.657766
311.369995,308.844834
304.820007,308.541859
303.630005,308.167753
302.880005,307.762982
305.329987,307.583591
297.880005,306.795654
302.010010,306.431635
293.510010,305.335077
301.059998,305.011996
303.850006,304.927720
299.730011,304.530025
298.369995,304.052545
298.920013,303.660101
302.140015,303.549321
302.320007,303.460076
305.299988,303.588359
305.079987,303.692835
308.769989,304.032218
310.309998,304.445431
309.070007,304.756427
310.390015,305.130397
312.510010,305.609459
312.619995,306.066783
313.700012,306.560851
314.549988,307.075700
318.049988,307.756859
319.739990,308.491517
323.790009,309.391926
324.630005,310.289941
323.089996,311.067728
323.820007,311.843376
324.329987,312.605655
326.049988,313.417105
324.339996,314.097402
320.529999,314.521085
326.230011,315.243676
328.549988,316.049257
330.170013,316.896092
325.859985,317.468772
323.220001,317.851106
320.000000,318.000517
323.880005,318.390806
326.140015,318.893559
324.869995,319.289891
322.989990,319.542280
322.640015,319.755170
322.489990,319.943972
323.529999,320.188948
323.750000,320.432301
327.390015,320.888361
329.760010,321.456559
330.390015,322.028397
329.130005,322.493272
323.109985,322.536987
320.200012,322.365134
319.019989,322.116014
320.600006,322.005665
322.190002,322.018802
321.079987,321.950956
323.119995,322.033257
329.480011,322.518686
328.579987,322.920562
333.410004,323.579877
335.420013,324.312362
335.950012,325.034288
335.290009,325.681241
333.600006,326.195043
336.390015,326.838908
335.899994,327.419068
339.820007,328.182458
338.309998,328.823045
338.670013,329.448097
338.609985,330.034513
336.959991,330.489759
335.250000,330.810872
334.119995,331.038012
335.339996,331.329829
334.149994,331.524555
336.910004,331.885217
341.000000,332.469405
342.000000,333.077392
341.559998,333.625308
341.459991,334.135308
340.899994,334.581273
341.130005,335.014142
343.369995,335.554978
345.350006,336.178561
343.540009,336.660738
341.089996,336.960997
344.250000,337.438926
345.339996,337.953385
342.429993,338.256747
346.609985,338.797935
345.760010,339.256367
349.630005,339.913238
347.579987,340.414122
349.799988,341.015430
349.309998,341.553598
349.809998,342.089604
351.959991,342.718809
352.260010,343.329432
351.190002,343.842296
353.809998,344.477369
349.989990,344.846899
362.579987,345.883345
363.730011,346.925737
358.019989,347.624431
356.980011,348.225339
358.350006,348.870198
358.480011,349.485917
354.500000,349.824229
354.109985,350.115801
353.190002,350.327841
352.559998,350.483281
352.089996,350.595966
350.570007,350.594111
354.260010,350.845289
354.299988,351.082569
355.929993,351.410333
355.549988,351.692491
358.290009,352.129979
361.059998,352.707036
360.200012,353.199084
362.459991,353.795520
360.470001,354.237927
361.670013,354.726482
361.799988,355.193363
363.149994,355.713499
365.519989,356.341763
367.779999,357.061785
367.820007,357.744193
369.500000,358.482025
367.859985,359.086140
370.429993,359.801628
370.480011,360.480161
366.820007,360.902503
363.279999,361.067922
360.160004,361.002414
361.709991,361.052561
359.420013,360.933817
357.779999,360.700496
357.059998,360.429692
350.299988,359.618749
348.079987,358.679708
343.040009,357.344502
343.690002,356.204702
345.059998,355.300718
346.339996,354.591812
345.450012,353.866913
348.559998,353.464229
348.429993,353.083404
345.660004,352.506123
345.089996,351.929375
346.230011,351.494803
345.390015,351.027090
340.890015,350.212967
338.660004,349.269257
335.859985,348.149083
336.839996,347.227221
338.630005,346.548356
336.899994,345.776784
336.160004,345.007829
331.709991,343.896265
337.410004,343.396294
341.329987,343.245094
343.750000,343.280947
349.019989,343.664574
351.809998,344.194350
346.630005,344.363487
346.170013,344.489852
346.299988,344.616465
348.179993,344.860741
350.559998,345.241996
350.010010,345.564387
354.250000,346.126144
356.790009,346.800786
359.859985,347.605376
358.929993,348.316921
361.329987,349.119585
361.000000,349.861872
361.799988,350.607496
362.679993,351.360608
361.339996,351.997879
360.049988,352.523280
358.690002,352.934240
